smiles,split,y_log10,y_lower,y_upper
CCCCC,train,1.8502376796666677,2.164,2.661
c1ccc(Oc2ccccc2)cc1,train,1.3601514477826384,1.661,2.164
Clc1cccc(-c2ccccc2)c1,train,2.3601514477826386,2.661,3.176
C1CCOC1,train,2.3601514477826386,1.661,2.164
C1=CCCC1,train,2.3601514477826386,1.661,2.164
COC(C)=O,train,2.3601514477826386,1.176,1.661
Cc1ncc([N+](=O)[O-])n1CCO,train,2.3710678622717363,1.661,2.164
Clc1ccc2oc3ccc(Cl)cc3c2c1,train,3.3601514477826386,2.661,3.176
Oc1cc(Cl)ccc1Cl,train,2.089905111439398,1.661,2.164
COC=O,train,1.3601514477826384,1.176,1.661
CCOCN(C(=O)CCl)c1c(C)cccc1CC,train,1.2041199826559248,1.176,1.661
Clc1ccc(N=Nc2ccc(Cl)cc2)cc1,train,1.9030899869919435,1.661,2.164
C1CCCC1,train,1.8502376796666677,1.661,2.164
Clc1ccc(Cl)c(Cl)c1,train,2.3601514477826386,2.661,3.176
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,train,2.2380461031287955,2.164,2.661
Cc1ccccc1N,train,1.8502376796666677,0.671,1.176
COCCl,train,1.3601514477826384,1.661,2.164
C=CC(=C)Cl,train,1.8502376796666677,2.164,2.661
CCCSP(=S)(OCC)Oc1ccc(SC)cc1,train,1.3601514477826384,1.176,1.661
c1ccc2c(c1)Cc1ccccc1-2,train,2.3601514477826386,2.661,3.176
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,train,3.5622928644564746,1.661,2.164
c1ccoc1,train,1.8502376796666677,1.661,2.164
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,train,2.8502376796666677,3.176,inf
COc1ccccc1,train,1.3601514477826384,1.661,2.164
O=C(O)c1ccccc1C(=O)O,train,2.3601514477826386,1.176,1.661
CO,train,2.8502376796666677,0.671,1.176
O=CO,train,2.3601514477826386,1.176,1.661
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,train,1.290034611362518,2.661,3.176
C=COCCCl,train,1.3601514477826384,1.661,2.164
Nc1cccc(Cl)c1,train,2.823669813268136,2.661,3.176
CCCC=O,train,3.3601514477826386,0.671,1.176
O=C(O)c1ccccc1O,train,0.8502376796666677,1.176,1.661
Oc1cccc(Cl)c1,train,2.2380461031287955,2.164,2.661
C=CCC=C,train,1.8502376796666677,1.661,2.164
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,train,1.8502376796666677,0.671,1.176
Oc1cccc(O)c1,train,3.3601514477826386,0.176,0.671
CCCCCCCCO,train,2.3601514477826386,0.671,1.176
Cc1cccc2ccccc12,train,2.8502376796666677,2.164,2.661
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,train,2.255272505103306,1.661,2.164
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,train,1.3601514477826384,3.176,inf
Oc1ccc(Cl)c(Cl)c1,train,1.845098040014257,1.661,2.164
CC(=O)O,train,1.3601514477826384,1.176,1.661
CCCCC(CC)C(=O)O,train,0.6989700043360189,0.671,1.176
OCc1ccccc1,train,1.3601514477826384,0.671,1.176
CCCCCCCCCCCCCCCC(=O)O,train,2.7134905430939424,1.661,2.164
N=C(O)c1ccccc1,train,0.8502376796666677,1.176,1.661
c1ccc2sccc2c1,train,2.3601514477826386,2.164,2.661
CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],train,2.255272505103306,1.176,1.661
Nc1ccc(Sc2ccc(N)cc2)cc1,train,0.12493862803466593,-0.339,0.176
CCOCn1c(-c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F,train,2.3979400086720375,2.164,2.661
CCCOCCC,train,1.8502376796666677,1.661,2.164
O=C(O)C(=O)O,train,1.235528446907549,2.164,2.661
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,train,2.3601514477826386,3.176,inf
O=C(O)CCl,train,2.3601514477826386,1.661,2.164
ClCBr,train,2.8502376796666677,2.164,2.661
Nc1ccccc1Cl,train,0.8502376796666677,1.661,2.164
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,train,1.8502376796666677,1.176,1.661
Clc1cccc(Cl)c1,train,2.3601514477826386,2.661,3.176
O=NN(c1ccccc1)c1ccccc1,train,2.3601514477826386,2.164,2.661
c1ccc2c(c1)ccc1c3ccccc3ccc21,train,1.3601514477826384,3.176,inf
CCOC(=O)c1ccccc1C(=O)OCC,train,1.8502376796666677,1.661,2.164
CCCCCCCCCCCC,train,1.8502376796666677,2.164,2.661
c1ccc2c(c1)ccc1ccccc12,train,1.8502376796666677,2.661,3.176
Clc1ccccc1,train,1.8502376796666677,2.661,3.176
O=[N+]([O-])c1ccccc1O,train,0.8502376796666677,1.661,2.164
CC1CCCCC1,train,2.3601514477826386,1.661,2.164
ClCCl,train,2.8502376796666677,2.661,3.176
NCCO.O=[N+]([O-])c1ccc(N=C(O)c2cc(Cl)ccc2O)c(Cl)c1,train,1.9294189257142926,0.176,0.671
CCCCCC(C)=O,train,2.8502376796666677,1.176,1.661
CCC#N,train,2.3601514477826386,1.661,2.164
Nc1ccc2ccccc2c1,train,2.8502376796666677,1.661,2.164
O=C(O)c1ccccc1,train,0.8502376796666677,1.176,1.661
C=CC=O,train,2.3601514477826386,0.671,1.176
ClC(Cl)(Cl)C(Cl)(Cl)Cl,train,2.8502376796666677,2.661,3.176
Clc1cc(Cl)c(Cl)c(Cl)c1,train,3.3601514477826386,2.661,3.176
CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,train,3.3601514477826386,1.176,1.661
CCN=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,train,3.3601514477826386,1.661,2.164
OCCO,train,0.8502376796666677,0.671,1.176
C=COC(C)=O,train,2.3601514477826386,1.176,1.661
COc1ccccc1O,train,2.3601514477826386,1.176,1.661
Cc1cccc(C)c1,train,0.8502376796666677,2.164,2.661
O=[N+]([O-])c1cccc(Cl)c1,train,0.505149978319906,0.176,0.671
CC(C)=O,train,1.3601514477826384,1.176,1.661
Cc1cc2ccccc2cc1C,train,1.8502376796666677,2.164,2.661
CC(=O)CC(C)C,train,1.8502376796666677,1.176,1.661
CCCCO,train,1.3601514477826384,0.671,1.176
O=C(O)c1ccccc1Cl,train,1.3601514477826384,2.164,2.661
CON(C)C(O)=Nc1ccc(Cl)c(Cl)c1,train,1.8502376796666677,2.164,2.661
CCN,train,1.8502376796666677,1.176,1.661
COC(=O)c1ccccc1S(=O)(=O)NC(O)=Nc1nc(OC(F)F)cc(OC(F)F)n1,train,1.591064607026499,2.164,2.661
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,train,1.6532125137753437,1.176,1.661
CCN=c1nc(NC(C)(C)C)[nH]c(SC)n1,train,1.8502376796666677,2.164,2.661
CCOC(C)=O,train,2.3601514477826386,1.176,1.661
CN(C)N=O,train,2.3601514477826386,2.164,2.661
CC(C)c1ccccc1,train,1.8502376796666677,2.164,2.661
C=Cc1ccccc1,train,1.8502376796666677,1.661,2.164
ClC(Cl)C(Cl)(Cl)Cl,train,1.8502376796666677,2.661,3.176
CCCCN,train,1.8502376796666677,0.671,1.176
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],train,1.8502376796666677,2.164,2.661
Clc1ccc(Cl)c(Cl)c1Cl,train,3.3601514477826386,2.661,3.176
CCCCCCCCn1sccc1=O,train,0.6020599913279624,1.661,2.164
C1=CCCCC1,train,1.3601514477826384,1.661,2.164
CCN(CC)C(=O)SCc1ccc(Cl)cc1,train,3.3601514477826386,2.661,3.176
Oc1ccccc1O,train,1.8502376796666677,1.176,1.661
c1ccc(-c2ccccc2)cc1,train,1.3601514477826384,1.661,2.164
Oc1cc(Cl)c(Cl)c(Cl)c1,train,1.3424226808222062,1.176,1.661
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,train,0.8702087801161407,0.671,1.176
COP(=O)(N=C(C)O)SC,train,0.8195439355418687,0.671,1.176
Cc1cc(C)c(C)cc1C,train,2.3601514477826386,2.164,2.661
C=C(C)C(=O)OC,train,1.8502376796666677,1.176,1.661
CCOC=O,train,0.8502376796666677,1.176,1.661
CC(C)(C)O,train,2.3601514477826386,1.176,1.661
C=CC#N,train,2.8502376796666677,1.176,1.661
O=C(O)CNCP(=O)(O)O,train,0.5910646070264992,1.176,1.661
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,train,1.3601514477826384,3.176,inf
COC,train,0.8502376796666677,1.661,2.164
O=[N+]([O-])c1ccccc1,train,1.8502376796666677,2.164,2.661
CCC=O,train,3.3601514477826386,0.671,1.176
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,train,2.942008053022313,3.176,inf
CC(O)CN(CC(C)O)CC(C)O,train,1.8502376796666677,0.671,1.176
Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,train,3.3601514477826386,3.176,inf
CCC(C)=O,train,1.8502376796666677,1.176,1.661
O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,train,0.3222192947339193,0.176,0.671
Clc1ccc(Oc2ccccc2)cc1,train,3.3601514477826386,1.661,2.164
ClC(Cl)C(Cl)Cl,train,1.8502376796666677,2.661,3.176
OCCNCCO,train,2.8502376796666677,1.176,1.661
ClC=CCl,train,1.4913616938342726,1.176,1.661
C=CCOC(C)=O,train,3.3601514477826386,1.176,1.661
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,train,2.8502376796666677,1.661,2.164
CCCN(CCC)N=O,train,2.8502376796666677,2.164,2.661
c1ccc2cc3c(ccc4ccccc43)cc2c1,train,2.8502376796666677,3.176,inf
C=CC=C,train,1.8502376796666677,1.661,2.164
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@@H]4C=C[C@H]3C4)[C@@]1(Cl)C2(Cl)Cl,train,2.3601514477826386,3.176,inf
OC1CCCCC1,train,1.8502376796666677,0.671,1.176
CC(=N)O,train,0.8502376796666677,1.176,1.661
Clc1cc(Cl)c(Cl)cc1Cl,train,1.3601514477826384,2.661,3.176
ClC(Cl)(Cl)Cl,train,0.8502376796666677,2.661,3.176
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,train,0.04139268515822508,-0.339,0.176
c1ccc2c(c1)CCC2,train,2.8502376796666677,2.164,2.661
O=[N+]([O-])c1ccc(N=C(O)c2cc(Cl)ccc2O)c(Cl)c1,train,2.100370545117563,0.176,0.671
Oc1c(Cl)cc(Cl)cc1Cl,train,2.8502376796666677,2.164,2.661
O=C(N=C(O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,train,2.255272505103306,1.176,1.661
ClCCOCCCl,train,2.3601514477826386,1.661,2.164
NCCO,train,2.3601514477826386,0.671,1.176
N#Cc1ccccn1,train,-0.16115090926274472,-0.339,0.176
CCCCN=C(O)n1c(N=C(O)OC)nc2ccccc21,train,2.8502376796666677,2.164,2.661
CCCC(C)=O,train,2.3601514477826386,1.176,1.661
CCCCC(C)=O,train,1.8502376796666677,1.176,1.661
