fragment_smiles,frequency,mean_activity,activity_std
[16*]c1ccccc1,8,6.99,9.864
[6*]C(=O)O,4,2.292,0.0
[3*]O[3*],4,1.375,1.078
[16*]c1cc(Cl)c(Cl)cc1Cl,3,153.542,130.986
[4*]C(C)C,3,4.792,3.969
[16*]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2,2291.667,0.0
[4*]CC,2,0.708,0.0
[16*]c1ccc([16*])cc1,2,0.708,0.0
[16*]c1ccccc1[16*],2,1.25,1.473
[3*]OC,2,0.708,0.0
[3*]OC(O)=NC,2,1.25,1.473
[16*]c1ccc(Cl)cc1,2,7.083,0.0
[16*]c1ccc(Cl)c(Cl)c1Cl,1,22.917,
[16*]c1c(Cl)cc(Cl)cc1Cl,1,229.167,
[1*]C(C)=O,1,2.292,
[1*]C(=O)S[11*],1,7.083,
Oc1ccc(Cl)c(Cl)c1Cl,1,7.083,
Oc1cc(Cl)c(Cl)cc1Cl,1,7.083,
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,1,22.917,
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,22.917,
[16*]c1c(Cl)cc(O)c(O)c1Cl,1,229.167,
O=[N+]([O-])c1ccccc1O,1,2.292,
O=[N+]([O-])C(Cl)(Cl)Cl,1,7.083,
O=CO,1,7.083,
C1CCCC1,1,0.708,
[16*]c1ccccc1O,1,2.292,
[16*]c1cccc2ccccc12,1,2.292,
N=C(O)c1ccccc1,1,0.708,
[4*]CC(=O)O,1,2.292,
[4*]CC(Cl)=C(Cl)Cl,1,7.083,
[4*]CCC,1,2.292,
[5*]N(C)C,1,0.208,
[5*]N([5*])[5*],1,7.083,
[6*]C(C)=O,1,22.917,
[8*]C([8*])C(Cl)(Cl)Cl,1,0.708,
[8*]CCC,1,0.708,
[8*]CO,1,2.292,
c1cc2ccc3cccc4ccc(c1)c2c34,1,7.083,
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,1,7.083,
O=C(O)CCl,1,22.917,
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,1,7.083,
C=CC(=O)O,1,0.708,
Clc1ccccc1Cl,1,22.917,
Cc1cccc(C)c1,1,0.708,
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,0.708,
Cc1ccc(O)cc1,1,0.25,
Cc1ccc(C)c2c(C)cccc12,1,0.708,
Cc1cc(C)cc(C)c1,1,0.708,
Cc1cc(C)c(C)cc1C,1,0.708,
COC,1,0.708,
CN(C)C(=S)SSC(=S)N(C)C,1,7.083,
CCCCCCCCCCCC,1,0.708,
CCCCCCCCCC,1,0.708,
CCCCCCCC,1,0.708,
CCCCCC(=O)O,1,2.292,
CCCC(=O)O,1,2.292,
CCC(=O)CC,1,2.292,
CC(Cl)CCl,1,22.917,
CC(C)=O,1,70.833,
C=CCl,1,2.292,
Cc1cccc(C)c1N,1,0.208,
Cc1ccccc1,1,0.708,
Cc1ccccc1N,1,0.208,
Clc1cc(Cl)c(Cl)c(Cl)c1,1,70.833,
Clc1ccccc1,1,7.083,
Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,1,7.083,
Clc1ccc2c(c1)Oc1cc(Cl)ccc1O2,1,7.083,
Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,1,7.083,
Clc1cc2oc3c(Cl)c(Cl)c(Cl)cc3c2cc1Cl,1,22.917,
Clc1cc(Cl)cc(Cl)c1,1,22.917,
Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2,1,7.083,
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,1,7.083,
Cc1ccccc1O,1,0.208,
ClCCCl,1,70.833,
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,1,7.083,
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@@H]4C=C[C@H]3C4)[C@@]1(Cl)C2(Cl)Cl,1,0.208,
ClC(Cl)(Cl)Cl,1,708.333,
ClC(Cl)(Cl)C(Cl)(Cl)Cl,1,708.333,
Cc1ccncc1,1,22.917,
Cc1cccnc1,1,22.917,
c1ccc2ccccc2c1,1,0.708,
