fragment_smiles,frequency,mean_activity,activity_std
[16*]c1ccccc1,7,221.059,333.559
[16*]c1ccc(Cl)cc1,7,1022.024,898.387
[3*]O[3*],6,205.889,218.761
[4*]CC,6,27.028,34.393
[3*]OC,5,51.667,26.245
[16*]c1ccccc1Cl,5,1245.833,974.546
[6*]C(=O)O,5,100.167,90.06
[16*]c1cc(Cl)ccc1Cl,3,2291.667,0.0
[4*]C(C)C,3,239.556,292.235
[4*]CCCC,3,180.0,0.0
[4*]CCCl,3,70.833,0.0
[16*]c1ccccc1[16*],3,54.861,27.665
[5*]N[5*],3,123.611,91.414
[16*]c1ccccc1C,3,12.0,0.0
[3*]OP(=O)(O[3*])O[3*],3,19.233,17.322
[16*]c1cccc(C)c1,3,39.0,0.0
[16*]c1ccc(C)cc1,3,6.7,0.0
[8*]C([8*])C(Cl)(Cl)Cl,2,2291.667,0.0
[16*]c1c(Cl)cc(Cl)cc1Cl,2,2291.667,0.0
[4*]C(C)CCl,2,70.833,0.0
[4*]CCC,2,70.833,0.0
[1*]C([6*])=O,2,70.833,0.0
[1*]C([1*])=O,2,150.0,111.959
[8*]CCCCCCCCC,2,104.0,0.0
[16*]c1cn2c3c(cc(F)cc3c1=O)CCC2C,1,155.0,
[16*]c1ccc(Cl)c(Cl)c1,1,229.167,
[16*]c1ccc(Cl)c(Cl)c1Cl,1,2291.667,
[16*]c1ccc(Cl)cc1Cl,1,708.333,
[16*]c1ccc(O)c([16*])c1,1,104.0,
[3*]OC(O)=NC,1,70.833,
[3*]OC=C,1,70.833,
[3*]OCO[3*],1,70.833,
[16*]c1cc([16*])c(Cl)cc1Cl,1,577.0,
[16*]c1cccc2ccccc12,1,70.833,
[3*]OCN([5*])[5*],1,16.0,
[16*]c1cccc(C)c1[16*],1,16.0,
C#CCCCC,1,70.833,
[3*]OP(=S)(O[3*])SCS[11*],1,1.5,
[8*]CO,1,7.083,
c1ccc2ccccc2c1,1,229.167,
c1ccc2cc3c(ccc4ccccc43)cc2c1,1,2291.667,
c1ccc2c(c1)cc1ccc3c4ccccc4cc4ccc2c1c43,1,875.0,
c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,1,875.0,
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,1,2291.667,
c1cc2ccc3cccc4ccc(c1)c2c34,1,2291.667,
[9*]n1sccc1=O,1,135.0,
[9*]n1nc([14*])oc1=O,1,577.0,
[9*]n1cncn1,1,375.0,
[8*]CCCCCCCC,1,135.0,
[16*]c1cc(Cl)c(Cl)cc1Cl,1,7083.333,
[8*]CC,1,16.0,
[8*]C(C)O,1,7.0,
[8*]C(C)(C)C,1,577.0,
[6*]C([6*])=O,1,22.917,
[5*]NCP(=O)(O)O,1,30.5,
[5*]NC,1,70.833,
[5*]N([5*])[5*],1,70.833,
[5*]N(C)C,1,229.167,
[4*]CC(=O)O,1,30.5,
[4*]C([8*])C(O)C(C)(C)C,1,375.0,
[16*]c1c(Cl)ccc(Cl)c1[16*],1,70.833,
[16*]c1cc(Cl)c(Cl)c(Cl)c1Cl,1,7083.333,
ClC=CCl,1,31.0,
ClC(Cl)Br,1,229.167,
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccccc1Cl,1,2291.667,
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1,2291.667,
ClC(Cl)=C(Cl)Cl,1,229.167,
ClC(Cl)(Cl)Cl,1,708.333,
ClC(Cl)(Cl)C(Cl)(Cl)Cl,1,708.333,
Cc1ccccc1N,1,7.083,
Cc1cccc(C)c1C,1,229.167,
Cc1ccc([N+](=O)[O-])cc1,1,229.167,
Cc1ccc(O)c(C)c1,1,22.917,
Cc1ccc(C)cc1,1,229.167,
Cc1ccc(C)c(C)c1,1,229.167,
