scaffold_smiles,count,coverage_pct,cumulative_pct
,28,28.87,28.87
c1ccccc1,27,27.84,56.71
c1ccc(-c2ccccc2)cc1,8,8.25,64.96
c1ccc2ccccc2c1,4,4.12,69.08
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,3,3.09,72.17
c1ccc2c(c1)Oc1ccccc1O2,3,3.09,75.26
c1ccc(Cc2ccccc2)cc1,2,2.06,77.32
C=C(c1ccccc1)c1ccccc1,2,2.06,79.38
c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,1,1.03,80.41
c1ccc(N=Nc2ccccc2)cc1,1,1.03,81.44
c1cc2ccc3cccc4ccc(c1)c2c34,1,1.03,82.47
C1CCCCC1,1,1.03,83.5
C1=CC2CC1C1C3C=CC(C3)C21,1,1.03,84.53
N=c1nc[nH]c(=N)[nH]1,1,1.03,85.56
O=C1c2ccccc2C(=O)c2ccccc21,1,1.03,86.59
O=c1ccn2c3c(cccc13)CCC2,1,1.03,87.62
C1=CCCC1,1,1.03,88.65
c1ncncn1,1,1.03,89.68
O=c1ccs[nH]1,1,1.03,90.71
c1ccc2cc3c(ccc4ccccc43)cc2c1,1,1.03,91.74
c1ccc(Oc2ccccc2)cc1,1,1.03,92.77
c1ccc2c(c1)cc1ccc3c4ccccc4cc4ccc2c1c43,1,1.03,93.8
c1ccsc1,1,1.03,94.83
O=C(c1ccccc1)c1ccccc1,1,1.03,95.86
O=c1ocnn1-c1ccccc1,1,1.03,96.89
c1ccc(OCn2cncn2)cc1,1,1.03,97.92
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,1,1.03,98.95
c1ccc2c(c1)oc1ccccc12,1,1.03,99.98
