fragment_smiles,frequency,mean_activity,activity_std
[3*]OC,6,69.444,37.769
[6*]C(=O)O,5,100.167,90.06
[16*]c1ccccc1,5,548.933,977.752
[3*]O[3*],5,140.95,244.804
[4*]C(C)C,4,192.208,263.008
[5*]N([5*])[5*],4,103.096,103.357
[16*]c1ccc(C)cc1,3,6.7,0.0
[4*]CC,3,158.444,122.494
[4*]CC(C)O,3,14.3,0.0
[16*]c1ccccc1Cl,3,1604.167,1190.785
[16*]c1ccccc1C,3,12.0,0.0
[8*]CCCCCCCCC,2,104.0,0.0
[3*]OP(=O)(O[3*])O[3*],2,9.35,3.748
[8*]CCl,2,2291.667,0.0
[4*]CCC,2,229.167,0.0
[16*]c1ccc(N)cc1,2,22.917,0.0
[8*]C(F)(F)F,2,123.083,150.024
[1*]C(C)=O,2,22.917,0.0
[16*]c1cc([N+](=O)[O-])c([16*])c([N+](=O)[O-])c1,1,229.167,
[16*]c1cc(Cl)c(Cl)cc1Cl,1,2291.667,
[16*]c1c(Cl)ccc(Cl)c1[16*],1,70.833,
[16*]c1c[nH]c(=N)[nH]c1=N,1,100.0,
[16*]c1ccc([N+](=O)[O-])c([16*])c1,1,17.0,
[16*]c1ccc([16*])c(Cl)c1,1,17.0,
[16*]c1cc([16*])c(Cl)cc1Cl,1,577.0,
[16*]c1ccc(O)c([16*])c1,1,104.0,
[16*]c1cc(Cl)ccc1Cl,1,2291.667,
[16*]c1ccc(Cl)cc1Cl,1,22.917,
[16*]c1ccc(Cl)cc1C,1,70.833,
[16*]c1ccc(Cl)cc1,1,15.0,
[16*]c1ccc(Cl)c(Cl)c1Cl,1,2291.667,
[16*]c1cc([16*])c([16*])c([16*])c1,1,100.0,
C#CCCCC,1,70.833,
[3*]OP(=S)(O[3*])O[3*],1,229.167,
[16*]c1ccccc1[16*],1,22.917,
[16*]c1cn2c3c(cc(F)cc3c1=O)CCC2C,1,155.0,
c1ccc2c(c1)ccc1c3ccccc3ccc21,1,2291.667,
c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,1,875.0,
c1ccc2c(c1)Cc1ccccc1-2,1,708.333,
c1cc2ccc3cccc4ccc(c1)c2c34,1,2291.667,
[9*]n1nc([14*])oc1=O,1,577.0,
[8*]C[8*],1,100.0,
[8*]CC,1,229.167,
[8*]C([8*])C(Cl)(Cl)Cl,1,2291.667,
[8*]C(C)O,1,7.0,
[8*]C(C)C,1,229.167,
[8*]C(C)(C)C,1,577.0,
[5*]N[5*],1,15.0,
[4*]CCCC(=O)O,1,22.917,
[4*]CC(Cl)=C(Cl)Cl,1,22.917,
[4*]C(C)C(=O)O,1,70.833,
[16*]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,2291.667,
[3*]OC=C,1,22.917,
[16*]c1c(Cl)c(Cl)cc(Cl)c1Cl,1,2291.667,
[15*]C1([15*])C(=C)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl,1,2291.667,
C1CCOC1,1,70.833,
[14*]c1cc(C)nc([14*])n1,1,229.167,
ClCBr,1,229.167,
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@@H]4C=C[C@H]3C4)[C@@]1(Cl)C2(Cl)Cl,1,2291.667,
ClC(Cl)Br,1,229.167,
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1,2291.667,
ClC(Cl)(Cl)Cl,1,708.333,
ClC(Cl)(Cl)C(Cl)(Cl)Cl,1,708.333,
Cc1ccc(O)c(C)c1,1,22.917,
Cc1ccc(C)cc1,1,229.167,
COC,1,70.833,
CCO,1,7.083,
CCCCO,1,7.083,
CCCCCCCC,1,229.167,
CCCCCC(C)=O,1,22.917,
CCCCCC,1,229.167,
CCC=O,1,7.083,
CC(Cl)CCl,1,708.333,
CC(Cl)(Cl)C(=O)O,1,70.833,
CC(=N)S,1,22.917,
C=CCO,1,7.083,
C=CCC(=O)O,1,22.917,
C=CC=O,1,7.083,
C=CC(=C)Cl,1,229.167,
C=CC#N,1,22.917,
ClCCCl,1,511.0,
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,2291.667,
Clc1ccc2c(c1)Oc1cc(Cl)ccc1O2,1,708.333,
O=[N+]([O-])c1ccc(O)cc1,1,70.833,
[13*]C1CO1,1,70.833,
[1*]C(=O)S[11*],1,22.917,
[1*]C(=O)N=C(O)c1c(F)cccc1F,1,15.0,
[1*]C(=O)CCl,1,146.0,
[1*]C(=O)C(=C)C,1,22.917,
Oc1ccccc1O,1,22.917,
Oc1ccccc1Cl,1,6.9,
Oc1cc(Cl)cc(Cl)c1,1,36.0,
Oc1c(Br)cccc1Br,1,7.0,
OCCO,1,7.083,
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,7.0,
Clc1ccc2oc3ccc(Cl)cc3c2c1,1,708.333,
O=CO,1,22.917,
O=C1c2ccccc2C(=O)c2c(O)cccc21,1,10.0,
Nc1cccc2ccccc12,1,70.833,
Nc1ccc(F)cc1,1,211.3,
Nc1ccc(Cl)cc1,1,22.917,
Nc1ccc(Br)cc1,1,124.4,
Nc1cc(Cl)cc(Cl)c1,1,149.0,
NC1CCCCC1,1,7.083,
Ic1ccccc1,1,708.333,
Fc1ccccc1,1,70.833,
c1ccc2cc3c(ccc4ccccc43)cc2c1,1,2291.667,
