scaffold_smiles,count,coverage_pct,cumulative_pct
,28,34.57,34.57
c1ccccc1,25,30.86,65.43
c1ccc(-c2ccccc2)cc1,4,4.94,70.37
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,2,2.47,72.84
c1ccc2c(c1)Cc1ccccc1-2,1,1.23,74.07
c1ccc2c(c1)ccc1c3ccccc3ccc21,1,1.23,75.3
c1ccc2cc3c(ccc4ccccc43)cc2c1,1,1.23,76.53
C1=CC2CC1[C@@H]1[C@H]2[C@H]2C=C[C@@H]1C2,1,1.23,77.76
c1cncnc1,1,1.23,78.99
O=C1c2ccccc2C(=O)c2ccccc21,1,1.23,80.22
N=c1[nH]cc(Cc2ccccc2)c(=N)[nH]1,1,1.23,81.45
c1ccc(Oc2ccccc2)cc1,1,1.23,82.68
C=C1CC2CCC1C2,1,1.23,83.91
O=C(N=Cc1ccccc1)Nc1ccccc1,1,1.23,85.14
O=c1ocnn1-c1ccccc1,1,1.23,86.37
c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,1,1.23,87.6
C=C(c1ccccc1)c1ccccc1,1,1.23,88.83
c1ccc2c(c1)oc1ccccc12,1,1.23,90.06
c1ccc2ccccc2c1,1,1.23,91.29
C1CCOC1,1,1.23,92.52
c1ccc(Cc2ccccc2)cc1,1,1.23,93.75
c1ccc(C2CO2)cc1,1,1.23,94.98
O=c1ccn2c3c(cccc13)CCC2,1,1.23,96.21
c1ccc2c(c1)Oc1ccccc1O2,1,1.23,97.44
C1CCCCC1,1,1.23,98.67
c1cc2ccc3cccc4ccc(c1)c2c34,1,1.23,99.9
