scaffold_smiles,n_samples,n_outside_ad,pct_outside_ad
C1=CC2CC1C1C3C=CC(C3)C21,1,1,100.0
c1ccc2ncccc2c1,1,1,100.0
c1ccc(Nc2ccccc2)cc1,1,1,100.0
c1ccoc1,1,1,100.0
C1CCCCC1,2,2,100.0
c1cc2c3c(cccc3c1)CC2,1,1,100.0
,8,8,100.0
C1=CC2C3C=CC(C3)C2C1,1,1,100.0
O=C1CCCCC1,1,1,100.0
c1ccccc1,19,12,63.2
c1ccc2c(c1)Oc1ccccc1O2,4,1,25.0
c1ccc(-c2ccccc2)cc1,7,0,0.0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1,0,0.0
c1ccc2c(c1)ccc1ccccc12,1,0,0.0
c1ccc2c(c1)-c1cccc3cccc-2c13,1,0,0.0
c1ccc2c(c1)oc1ccccc12,1,0,0.0
c1ccc2ccccc2c1,2,0,0.0
