fragment_smiles,frequency,mean_activity,activity_std
[16*]c1ccccc1,6,1076.389,965.433
[3*]O[3*],5,70.833,0.0
[3*]OC,3,38.889,27.665
[16*]c1cc(Cl)ccc1Cl,3,1763.889,914.138
[1*]C([6*])=O,2,70.833,0.0
[16*]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2,2291.667,0.0
[16*]c1c(Cl)c(Cl)cc(Cl)c1Cl,2,2291.667,0.0
[16*]c1cc(Cl)c(Cl)cc1Cl,2,1181.25,1570.367
[6*]C(=O)O,2,46.875,33.882
[16*]c1ccccc1O,2,22.917,0.0
[4*]CC,2,70.833,0.0
[16*]c1ccccc1[16*],2,70.833,0.0
C=CCC=C,1,70.833,
[16*]c1c(Cl)cc(Cl)cc1Cl,1,2291.667,
[16*]c1c(Cl)ccc(Cl)c1[16*],1,70.833,
[16*]c1cccc(Cl)c1,1,708.333,
[4*]C(C)C,1,70.833,
[1*]C(=O)C(=C)C,1,22.917,
[4*]CC(=O)O,1,70.833,
[5*]NC,1,70.833,
[8*]CC,1,229.167,
[8*]CCC,1,229.167,
c1cc2c3c(cccc3c1)CC2,1,708.333,
c1ccc2c(c1)-c1cccc3cccc-2c13,1,2291.667,
c1ccc2c(c1)Oc1ccccc1O2,1,229.167,
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1,2291.667,
c1ccc2c(c1)ccc1ccccc12,1,708.333,
c1ccc2ncccc2c1,1,70.833,
[1*]C([1*])=O,1,70.833,
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,1,229.167,
C=CCCCCCC,1,70.833,
Clc1cc(Cl)c(Cl)c(Cl)c1,1,708.333,
CC1CCCCC1,1,70.833,
CCCCCC,1,229.167,
CCCCCC(=O)O,1,22.917,
CCCl,1,708.333,
Cc1cc2ccccc2cc1C,1,229.167,
Cc1ccc(C)c2c(C)cccc12,1,229.167,
Cc1ccc(C)cc1,1,229.167,
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,229.167,
ClC(Cl)(Cl)Cl,1,708.333,
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,1,229.167,
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,1,2291.667,
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,1,2291.667,
Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2,1,708.333,
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,1,229.167,
Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,1,2291.667,
Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,1,2291.667,
Clc1cccc(Cl)c1,1,708.333,
Clc1cccc2c1Oc1ccccc1O2,1,708.333,
Clc1ccccc1,1,708.333,
FC(Cl)(Cl)Cl,1,2291.667,
Fc1ccccc1,1,70.833,
O=C1CCCCC1,1,22.917,
O=Cc1ccccc1,1,7.083,
O=NN(c1ccccc1)c1ccccc1,1,229.167,
O=[N+]([O-])c1ccccc1,1,229.167,
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,229.167,
c1ccoc1,1,70.833,
