scaffold_smiles,count,coverage_pct,cumulative_pct
c1ccccc1,19,35.85,35.85
,8,15.09,50.94
c1ccc(-c2ccccc2)cc1,7,13.21,64.15
c1ccc2c(c1)Oc1ccccc1O2,4,7.55,71.7
c1ccc2ccccc2c1,2,3.77,75.47
C1CCCCC1,2,3.77,79.24
c1cc2c3c(cccc3c1)CC2,1,1.89,81.13
c1ccc2c(c1)-c1cccc3cccc-2c13,1,1.89,83.02
c1ccc(Nc2ccccc2)cc1,1,1.89,84.91
c1ccc2ncccc2c1,1,1.89,86.8
O=C1CCCCC1,1,1.89,88.69
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1,1.89,90.58
c1ccc2c(c1)ccc1ccccc12,1,1.89,92.47
C1=CC2C3C=CC(C3)C2C1,1,1.89,94.36
c1ccc2c(c1)oc1ccccc12,1,1.89,96.25
c1ccoc1,1,1.89,98.14
C1=CC2CC1C1C3C=CC(C3)C21,1,1.89,100.03
