fragment_smiles,frequency,mean_activity,activity_std
[3*]O[3*],28,152.87,288.361
[4*]CC,22,117.985,162.245
[16*]c1ccccc1,14,204.847,402.809
[4*]CCC,12,68.771,46.628
[8*]C(F)(F)F,10,106.942,126.45
[5*]N[5*],10,400.702,1017.402
[5*]N([5*])[5*],9,113.874,153.511
[8*]CC,9,263.912,283.402
[3*]OC,8,16.788,10.691
[1*]C([6*])=O,8,241.604,487.131
[4*]CCCC,7,425.857,368.056
[16*]c1ccc(Cl)cc1,7,301.619,273.127
[4*]C[8*],7,379.329,621.443
[8*]C(C)C,5,49.833,24.322
[5*]N(C)C,5,197.7,203.882
[16*]c1ccccc1[16*],4,102.979,174.764
[16*]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4,2291.667,0.0
[1*]C(=O)CCl,4,284.475,319.518
[4*]CCCl,4,22.917,0.0
[1*]C(C)=O,4,5.812,2.542
[1*]C([1*])=O,4,84.813,102.726
[16*]c1ccccc1Cl,3,1236.111,914.138
[4*]CC(=O)O,3,5.2,0.0
[16*]c1ccc([16*])cc1,3,159.5,242.195
[4*]C(C)C,3,225.0,189.011
[11*]S[11*],3,30.0,18.33
[16*]c1ccc(Cl)cc1Cl,3,1597.778,1201.851
[16*]c1cc([N+](=O)[O-])c([16*])c([N+](=O)[O-])c1,3,75.889,8.756
[4*]CC[4*],3,15.333,9.238
[6*]C(=O)O,3,150.028,245.065
[16*]c1cccc2ccccc12,2,288.917,308.416
[4*]CCO,2,7.083,0.0
[1*]C(=O)C=[7*],2,8.5,2.121
[3*]OP(=S)(O[3*])O[3*],2,185.417,162.045
[4*]CC(CC)CCCC,2,22.917,0.0
[3*]OP(=S)(OC)OC,2,49.75,54.801
[4*]C([8*])C#N,2,43.0,39.598
[4*]C(N=CO)C(Cl)(Cl)Cl,2,19.0,0.0
[4*]C(C)CC,2,42.6,0.0
[4*]C(C)(C)C,2,168.5,82.731
[11*]SC,2,148.917,110.427
[3*]OC(O)=NC,2,34.5,28.991
[3*]OP(=O)(O[3*])S[11*],2,14.5,16.263
[3*]OCN([5*])[5*],2,327.45,442.012
[16*]c1cc[n+](C)cc1,2,3652.0,0.0
[15*]C1CC1,2,221.3,299.389
[14*]c1ccc([16*])cn1,2,173.343,245.022
[8*]C(F)F,2,1673.0,2279.712
[8*]CO,2,10.646,11.815
[16*]c1cccc([16*])c1,2,43.0,39.598
[5*]NC,2,46.875,33.882
[16*]c1cc(Cl)c(Cl)c(Cl)c1Cl,2,2291.667,0.0
[16*]c1cccc([16*])c1[16*],2,554.5,120.915
[6*]C(=O)SC,2,61.0,0.0
[7*]=C(C)OP(=O)(OC)OC,2,17.5,14.849
[7*]=CCCl,2,2.5,0.0
[9*]n1cncn1,2,138.0,101.823
[16*]c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[16*],1,178.0,
[16*]c1cccc2c1OC(C)(C)C2,1,22.917,
[3*]OC(O)=NCCCC,1,0.089,
[16*]c1ccc(Br)cc1Cl,1,3.0,
[16*]c1cc(Cl)c([16*])c(Cl)c1,1,346.6,
[16*]c1cc(Cl)c(Br)cc1Cl,1,88.5,
[16*]c1cc(C)cc([16*])c1[16*],1,0.32,
[16*]c1cc([16*])c(Cl)cc1Cl,1,3285.0,
[16*]c1ccc([16*])c(Cl)c1,1,15.0,
[16*]c1ccc(Cl)c(Cl)c1,1,70.833,
[16*]c1ccc(Cl)nc1,1,15.0,
[16*]c1cccnc1C(C)=NNC(O)=Nc1cc(F)cc(F)c1,1,10.0,
[16*]c1ccc([16*])c(S(C)(=O)=O)c1,1,9.6,
[16*]c1ccc([N+](=O)[O-])cc1,1,56.0,
[16*]c1ccc2c(C)c(Cl)c(=O)oc2c1,1,300.0,
[16*]c1ccccc1N=C(O)c1cccnc1Cl,1,578.0,
[16*]c1cccc(C)c1,1,55.0,
[16*]c1cccc(C)c1[16*],1,14.9,
[16*]c1cccc(N=C(O)c2ccccc2[16*])c1,1,300.0,
[16*]c1cccc2c1OC(F)(F)O2,1,365.0,
[3*]OC1=C(CCCCCCCCCCCC)C(=O)c2ccccc2C1=O,1,2.0,
[16*]c1cccc([16*])c1C,1,1410.0,
C#CC(C)(C)N=C(O)c1cc(Cl)cc(Cl)c1,1,60.0,
[3*]OCO[3*],1,22.917,
[3*]ON=C(C)c1cccc([16*])c1,1,2.3,
[7*]=CC(=[7*])C,1,10.0,
[7*]=C[C@H]1[C@@H]([15*])C1(C)C,1,1410.0,
[8*]C(C)S(C)(=O)=NC#N,1,0.087,
[8*]C(Cl)(Cl)Cl,1,9.5,
[8*]C([8*])(O)C(Cl)(Cl)Cl,1,348.0,
[8*]C([8*])C(Cl)(Cl)Cl,1,708.333,
[8*]CC(=O)O,1,7.083,
[8*]CC(C)C,1,61.0,
[8*]CC([8*])(C#N)CCCC,1,66.0,
[8*]CCC,1,210.0,
[8*]C[8*],1,210.0,
[9*]n1c(=O)nc([14*])n(C)c1=O,1,502.0,
[9*]n1ccc([14*])n1,1,36.0,
[9*]n1nc(C)n([9*])c1=O,1,3285.0,
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,1,610.0,
c1ccc2c(c1)CCC2,1,70.833,
c1ccc2c(c1)ccc1c3ccccc3ccc21,1,708.333,
c1ccc2c(c1)oc1ccccc12,1,70.833,
c1ccc2ccccc2c1,1,70.833,
[7*]=C(Cl)C(F)(F)F,1,1410.0,
[6*]C([6*])=O,1,9.6,
[6*]C(=O)C([8*])[8*],1,31.7,
[4*]CC#CI,1,0.089,
[3*]ON=C(CCC)C1=C(O)CC([15*])CC1=O,1,50.0,
[3*]ON=CC([4*])(C)C,1,70.833,
[3*]OP(=O)(S[11*])S[11*],1,42.6,
[3*]OP(=S)(NC(C)C)O[3*],1,365.0,
[3*]OP(=S)(O[3*])c1ccccc1,1,56.0,
[4*]C(C)(C)CCCC(C)CC=[7*],1,10.0,
[16*]c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],1,132.0,
[4*]C(C)C[8*],1,50.0,
[4*]CC([4*])C,1,14.0,
[5*]NC(=NC)N[N+](=O)[O-],1,1155.0,
[4*]CC=C,1,7.083,
[4*]CC=C(Cl)Cl,1,346.6,
[4*]CCC[4*],1,346.6,
[5*]N(C)C(O)=NS(=O)(=O)c1ccccc1[16*],1,21.0,
[5*]N([5*])C,1,178.0,
