scaffold_smiles,count,coverage_pct,cumulative_pct
,47,27.01,27.01
c1ccccc1,39,22.41,49.42
c1ccc(-c2ccccc2)cc1,6,3.45,52.87
c1ccc2ccccc2c1,6,3.45,56.32
c1ccncc1,5,2.87,59.19
c1ccc2c(c1)Oc1ccccc1O2,4,2.3,61.49
c1ccc(Cc2ccccc2)cc1,2,1.15,62.64
N=c1nc[nH]c(=N)[nH]1,2,1.15,63.79
c1cncnc1,2,1.15,64.94
c1ccc(Nc2ccccc2)cc1,2,1.15,66.09
c1ccc2c(c1)oc1ccccc12,2,1.15,67.24
C1CCOC1,1,0.57,67.81
O=c1nc[nH]c(=O)n1C1CCCCC1,1,0.57,68.38
O=C1NS(=O)(=O)Nc2ccccc21,1,0.57,68.95
O=C(CNc1ccccc1)OCc1cccc(Oc2ccccc2)c1,1,0.57,69.52
c1ncsn1,1,0.57,70.09
O=C1C=C2CC[C@H]3[C@@H]4CCC(=O)C4CC[C@@H]3C2CC1,1,0.57,70.66
c1ccc2c(c1)CCO2,1,0.57,71.23
O=C1C=CC(=O)c2ccccc21,1,0.57,71.8
O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,1,0.57,72.37
c1cc(-c2cc[nH+]cc2)cc[nH+]1,1,0.57,72.94
N=c1ncnc[nH]1,1,0.57,73.51
c1ccc2sncc2c1,1,0.57,74.08
S=[PH](Oc1ccccc1)c1ccccc1,1,0.57,74.65
C1CNCCN1,1,0.57,75.22
c1ccc(C2(Cn3cncn3)OCCO2)cc1,1,0.57,75.79
c1ccc2c(c1)ccc1c3ccccc3ccc21,1,0.57,76.36
O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1,1,0.57,76.93
C1=CC2CC1[C@@H]1[C@@H]3C[C@@H]([C@H]4O[C@@H]34)[C@H]21,1,0.57,77.5
c1cscn1,1,0.57,78.07
O=c1[nH]cnn1-c1ccccc1,1,0.57,78.64
C1=CCCCC1,1,0.57,79.21
O=c1c(-c2ccccc2)cn2n1CCOCC2,1,0.57,79.78
N=c1ccnc(C2CC2)[nH]1,1,0.57,80.35
C(=Nc1ccccc1)c1ccccc1,1,0.57,80.92
C1COCCN1,1,0.57,81.49
c1ccc2ncccc2c1,1,0.57,82.06
O=C(c1ccccc1)c1cnoc1C1CC1,1,0.57,82.63
c1ccc(OCCCOc2ccccn2)cc1,1,0.57,83.2
O=c1[nH]cn[nH]1,1,0.57,83.77
c1ccc(COc2ccn(-c3ccccc3)n2)cc1,1,0.57,84.34
O=S(=O)(Nc1ccccc1)c1nc2ncccn2n1,1,0.57,84.91
O=C1C=CCCC1,1,0.57,85.48
O=c1oc2ccccc2cc1C1CC(c2ccc(-c3ccccc3)cc2)Cc2ccccc21,1,0.57,86.05
C(=Nc1ccccc1-c1ccccc1)c1cccnc1,1,0.57,86.62
C(=NNC=Nc1ccccc1)c1ccccn1,1,0.57,87.19
O=c1ccc2ccccc2o1,1,0.57,87.76
c1ccc2c(c1)CCC2,1,0.57,88.33
C(=NOCc1ccccc1)c1ccccc1,1,0.57,88.9
c1ccc(CCn2cncn2)cc1,1,0.57,89.47
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,1,0.57,90.04
C1CCCC1,1,0.57,90.61
c1ccsc1,1,0.57,91.18
O=C(OCc1cccc(-c2ccccc2)c1)C1CC1,1,0.57,91.75
O=C1CCCCC1,1,0.57,92.32
C(=Nc1ccccc1)NC=Nc1ccccc1,1,0.57,92.89
O=C1OC(c2ccc(Oc3ccccc3)cc2)C(=O)N1Nc1ccccc1,1,0.57,93.46
O=S(=O)(Nc1ncccn1)c1ccccc1,1,0.57,94.03
c1ccc(C2CO2)cc1,1,0.57,94.6
c1ccc2scnc2c1,1,0.57,95.17
C1=CC2CC1C1COCC21,1,0.57,95.74
O=C(N=Cc1ccccc1)Nc1ccccc1,1,0.57,96.31
O=S(=O)(N=CNc1ncncn1)c1ccccc1,1,0.57,96.88
c1ccc2[nH]c(-c3cscn3)nc2c1,1,0.57,97.45
C(=Nc1ccccc1)C1CCCCC1,1,0.57,98.02
C1CCOCC1,1,0.57,98.59
N=c1nc[nH]cn1,1,0.57,99.16
c1cc2c(c(-c3cc[nH]c3)c1)OCO2,1,0.57,99.73
