scaffold_smiles,n_samples,n_outside_ad,pct_outside_ad
O=c1ccnc[nH]1,1,1,100.0
c1ccc2sncc2c1,1,1,100.0
c1ccc2[nH]c(-c3cscn3)nc2c1,1,1,100.0
C1=NN=CN(N=Cc2cccnc2)C1,1,1,100.0
O=c1oc2ccccc2cc1C1CC(c2ccc(-c3ccccc3)cc2)Cc2ccccc21,1,1,100.0
C(=NOCc1ccccc1)c1ccccc1,1,1,100.0
O=C1C=CCC(c2ccccc2)C1,1,1,100.0
O=c1sc2nc3ccccc3nc2s1,1,1,100.0
c1ccnnc1,1,1,100.0
O=C1CCCC(=O)C1C(=O)c1ccccc1,2,2,100.0
C(=NNC=Nc1ccccc1)c1ccccn1,1,1,100.0
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,1,1,100.0
C(=Nc1ccccc1)NC=Nc1ccccc1,1,1,100.0
O=C1NS(=O)(=O)Nc2ccccc21,1,1,100.0
O=c1[nH]cn[nH]1,1,1,100.0
O=c1[nH]ncs1,1,1,100.0
O=S(=O)(NC=Nc1ncccn1)c1ccccc1,1,1,100.0
c1ncsn1,1,1,100.0
c1ccc2c(c1)OCO2,1,1,100.0
O=C1NC(=O)C2CC=CCC12,1,1,100.0
O=C1C=CC(=O)c2ccccc21,2,2,100.0
O=c1[nH]nnc2ccccc12,1,1,100.0
O=C(Nc1ccno1)c1ccccc1,1,1,100.0
C1CNCCN1,1,1,100.0
c1c2c(cc3c1CCOC3)CCC2,1,1,100.0
c1ccc(COc2ccn(-c3ccccc3)n2)cc1,1,1,100.0
N=c1cc[nH]cc1,1,1,100.0
c1c[nH]cn1,1,1,100.0
c1ccncc1,5,2,40.0
,36,6,16.7
c1ccccc1,41,5,12.2
c1ccc(C(CC2CC2)Cn2cncn2)cc1,1,0,0.0
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,1,0,0.0
c1ccc(Nc2ccccc2)cc1,1,0,0.0
c1ccc(Oc2cnc3ccccc3n2)cc1,1,0,0.0
C(=Nc1ccccc1)Oc1ccccc1,1,0,0.0
C(=Nc1ccccc1)Nc1ccccc1,1,0,0.0
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,1,0,0.0
O=C1C=CCCC1,1,0,0.0
c1ccc2ncccc2c1,1,0,0.0
O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,1,0,0.0
O=S(=O)(N=CN=c1ncnc[nH]1)c1ccccc1,2,0,0.0
O=C1CNC(c2ccccn2)=N1,1,0,0.0
c1ccc2c(c1)Oc1ccccc1O2,2,0,0.0
c1ccc(C2CO2)cc1,1,0,0.0
C(=Nc1ccccc1)c1ccnn1-c1ccccn1,1,0,0.0
c1ccc2ccccc2c1,3,0,0.0
c1cncnc1,1,0,0.0
c1ccc(Cc2ccccc2)cc1,1,0,0.0
c1ccc2scnc2c1,1,0,0.0
C1CCCCC1,1,0,0.0
O=C(OCc1cccc(-c2ccccc2)c1)C1CC1,1,0,0.0
c1nncs1,1,0,0.0
N=c1ncnc[nH]1,1,0,0.0
O=c1ocnn1-c1ccccc1,1,0,0.0
O=C1OC2(C=C1c1ccccc1)CCCC2,1,0,0.0
C1=CC2CC1C1COCC21,1,0,0.0
C(=Nc1ccccc1-c1ccccc1)c1cccnc1,1,0,0.0
c1ccsc1,2,0,0.0
c1ccc(Oc2ccccc2)cc1,2,0,0.0
C=C1C2CCC1c1c(N=Cc3cn[nH]c3)cccc12,1,0,0.0
c1ccc2c(c1)oc1ccccc12,1,0,0.0
c1ccc(-c2ccccc2)cc1,5,0,0.0
c1ccc(-c2ccno2)cc1,1,0,0.0
c1ccc2[nH]cnc2c1,1,0,0.0
O=C(COc1nncs1)Nc1ccccc1,1,0,0.0
