fragment_smiles,frequency,mean_activity,activity_std
[3*]O[3*],32,138.323,339.698
[4*]CC,23,77.846,86.886
[16*]c1ccccc1,19,130.339,325.328
[3*]OC,12,72.164,85.627
[1*]C([6*])=O,9,241.444,454.473
[4*]C(C)C,6,190.097,228.494
[4*]C[8*],6,248.283,569.229
[8*]C(F)(F)F,6,68.231,122.24
[16*]c1ccc(Cl)cc1,5,278.133,219.204
[4*]CC[4*],5,14.8,6.573
[5*]N([5*])[5*],5,47.133,24.469
[8*]CC,5,267.389,199.164
[4*]CC(=O)O,4,368.979,622.728
[5*]N(C)C,4,18.809,13.44
[8*]C(C)C,4,106.028,101.42
[16*]c1ccccc1[16*],4,103.854,174.178
[5*]N[5*],4,115.321,100.637
[4*]CCCC,3,11.333,2.309
[1*]C(C)=O,3,5.389,2.935
[6*]C(=O)O,3,91.454,143.617
[1*]C(=O)CCl,3,184.611,247.922
[16*]c1ccc(Cl)cc1Cl,3,154.194,227.308
[16*]c1ccc([16*])cc1,3,166.767,237.581
[3*]OC(O)=NC,3,47.746,55.2
[16*]c1cc(C)c([16*])c(C)c1,2,60.16,71.899
[3*]OP(=O)(O[3*])S[11*],2,14.5,16.263
[4*]CCO,2,7.083,0.0
[4*]CCCl,2,22.917,0.0
[4*]CCCCCCCCCCC,2,17.5,0.0
[4*]CC([4*])C,2,42.417,40.187
[14*]c1cc([14*])on1,2,121.0,114.551
[3*]ON=C(CC)C1=C(O)CC([15*])CC1=O,2,19.0,22.627
[4*]CC(O)=NC,2,68.0,76.368
[3*]OP(=S)(O[3*])O[3*],2,55.417,21.802
[11*]S[11*],2,14.5,16.263
[4*]C(N=CO)C(Cl)(Cl)Cl,2,19.0,0.0
[16*]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2,2291.667,0.0
[16*]c1ccc(N)cc1,2,7.083,0.0
[8*]C(C)(C)C,2,827.0,353.553
[8*]CSP(=S)(OC)OC,2,39.5,40.305
[15*]C1C(=O)CCCC1=O,2,12.05,0.495
[7*]=CCCl,2,2.5,0.0
[14*]c1nnc([14*])s1,2,555.5,737.512
[6*]C([6*])=O,2,12.05,0.495
[16*]c1cccc([16*])c1[16*],2,335.5,188.798
[11*]SC,2,115.0,5.657
[16*]c1cccc2ccccc12,1,70.833,
[3*]OP(=S)(OC)OC,1,88.5,
[4*]C(C)(C)C,1,22.917,
[4*]C(C)(C)C#N,1,200.0,
[16*]c1ccc([16*])c(C)c1,1,119.0,
[16*]c1ccccc1N=C(O)c1cccnc1Cl,1,578.0,
[16*]c1ccc([16*])c(Cl)c1,1,12.0,
[16*]c1ccc(S(C)(=O)=O)cc1[N+](=O)[O-],1,11.7,
[3*]OP(=S)(O[3*])SCSP(=S)(O[3*])O[3*],1,168.0,
[16*]c1cccnc1C(C)=NNC(O)=Nc1cc(F)cc(F)c1,1,10.0,
[16*]c1cccc([16*])c1C,1,1410.0,
[3*]OC1=C(c2c(C)cc(C)cc2C)C(=O)OC12CCCC2,1,5.3,
[16*]c1cccc(N=C(O)OC)c1,1,55.0,
[3*]OC(O)=NCCCC,1,0.089,
[3*]OC=C,1,7.083,
[3*]OP(=S)(NC(C)C)O[3*],1,365.0,
[3*]OP(=S)(CC)S[11*],1,150.0,
[3*]OC(O)=NCC[4*],1,1.3,
[16*]c1ccc([N+](=O)[O-])c([16*])c1,1,12.0,
[16*]c1cccc(C)c1[16*],1,70.833,
[3*]OC(O)=Nc1cccc(C)c1,1,55.0,
[3*]OP(=O)(NC(C)C)O[3*],1,119.0,
[3*]OC1=C(CCCCCCCCCCCC)C(=O)c2ccccc2C1=O,1,2.0,
[16*]c1cccc(N=C(O)N(C)C)c1,1,315.0,
[3*]ON=C(C)c1cccc([16*])c1,1,2.3,
[3*]OP(=O)(O[3*])O[3*],1,37.0,
C#CC(C)(C)N=C(O)c1cc(Cl)cc(Cl)c1,1,60.0,
[4*]C(C)C[8*],1,3.0,
[9*]n1c([N+](=O)[O-])cnc1C,1,26.9,
[8*]C(C)S(C)(=O)=NC#N,1,0.087,
[8*]C(Cl)(Cl)Cl,1,9.5,
[8*]C(F)F,1,639.0,
[8*]CC([8*])(O)C([8*])C,1,129.0,
[8*]CCC,1,14.0,
[8*]CCC(F)(F)F,1,229.0,
[8*]CCCCCCCCCCCCC,1,8.4,
[8*]CCO,1,26.9,
[9*]n1c(O)nc(C)c(Br)c1=O,1,275.0,
[9*]n1ccc([14*])n1,1,36.0,
[4*]C(CC)CC,1,52.2,
[9*]n1cncn1,1,129.0,
[9*]n1nc(Br)cc1C(O)=Nc1c(C)cc(C#N)cc1C(O)=NC,1,38.0,
[9*]n1nc([14*])oc1=O,1,577.0,
[9*]n1nc([14*])sc1=O,1,11.0,
[9*]n1nnc2ccccc2c1=O,1,68.0,
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,1,610.0,
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,1,708.333,
c1ccc2ncccc2c1,1,22.917,
c1ccncc1,1,70.833,
[8*]C(C)CC,1,275.0,
[8*]C(C)(CC)CC,1,202.0,
[7*]=C[C@H]1[C@@H]([15*])C1(C)C,1,1410.0,
[7*]=C(Cl)C(F)(F)F,1,1410.0,
[4*]C(Cl)(Cl)C(Cl)Cl,1,55.0,
[4*]C([8*])C#N,1,116.0,
[4*]CC#CI,1,0.089,
[4*]CC(=C)C,1,46.0,
[16*]c1ccc(S(C)(=O)=O)c([16*])c1Cl,1,12.4,
[4*]CC(F)(F)F,1,12.4,
[4*]CC=CCl,1,3.0,
[4*]CCC,1,3.0,
[4*]CCCCC,1,7.083,
[5*]N(C)C(O)=NC,1,1077.0,
[5*]N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C,1,2.0,
[5*]N([5*])C(=C[N+](=O)[O-])NC,1,15.0,
[5*]N([5*])COC,1,469.0,
[5*]N1CCN([5*])CC1,1,19.0,
