scaffold_smiles,count,coverage_pct,cumulative_pct
c1ccccc1,41,26.11,26.11
,36,22.93,49.04
c1ccncc1,5,3.18,52.22
c1ccc(-c2ccccc2)cc1,5,3.18,55.4
c1ccc2ccccc2c1,3,1.91,57.31
c1ccc2c(c1)Oc1ccccc1O2,2,1.27,58.58
c1ccc(Oc2ccccc2)cc1,2,1.27,59.85
c1ccsc1,2,1.27,61.12
O=C1CCCC(=O)C1C(=O)c1ccccc1,2,1.27,62.39
O=C1C=CC(=O)c2ccccc21,2,1.27,63.66
O=S(=O)(N=CN=c1ncnc[nH]1)c1ccccc1,2,1.27,64.93
O=c1[nH]ncs1,1,0.64,65.57
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,1,0.64,66.21
C(=Nc1ccccc1)NC=Nc1ccccc1,1,0.64,66.85
c1ccc(C2CO2)cc1,1,0.64,67.49
O=C1CNC(c2ccccn2)=N1,1,0.64,68.13
C(=Nc1ccccc1)Nc1ccccc1,1,0.64,68.77
C(=Nc1ccccc1)c1ccnn1-c1ccccn1,1,0.64,69.41
c1ccc2[nH]cnc2c1,1,0.64,70.05
O=c1[nH]cn[nH]1,1,0.64,70.69
O=C1NS(=O)(=O)Nc2ccccc21,1,0.64,71.33
c1ccc(C(CC2CC2)Cn2cncn2)cc1,1,0.64,71.97
c1ccc2sncc2c1,1,0.64,72.61
c1ccnnc1,1,0.64,73.25
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,1,0.64,73.89
O=C1C=CCCC1,1,0.64,74.53
O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,1,0.64,75.17
O=S(=O)(NC=Nc1ncccn1)c1ccccc1,1,0.64,75.81
c1ccc(Oc2cnc3ccccc3n2)cc1,1,0.64,76.45
C1CNCCN1,1,0.64,77.09
c1ccc2ncccc2c1,1,0.64,77.73
N=c1cc[nH]cc1,1,0.64,78.37
C(=Nc1ccccc1)Oc1ccccc1,1,0.64,79.01
O=c1[nH]nnc2ccccc12,1,0.64,79.65
c1ccc2c(c1)OCO2,1,0.64,80.29
c1ccc(Nc2ccccc2)cc1,1,0.64,80.93
c1ccc(-c2ccno2)cc1,1,0.64,81.57
O=C(COc1nncs1)Nc1ccccc1,1,0.64,82.21
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,1,0.64,82.85
c1ccc2c(c1)oc1ccccc12,1,0.64,83.49
O=C(Nc1ccno1)c1ccccc1,1,0.64,84.13
c1c[nH]cn1,1,0.64,84.77
c1cncnc1,1,0.64,85.41
c1ccc(Cc2ccccc2)cc1,1,0.64,86.05
c1ccc2scnc2c1,1,0.64,86.69
O=C1NC(=O)C2CC=CCC12,1,0.64,87.33
C1CCCCC1,1,0.64,87.97
O=C(OCc1cccc(-c2ccccc2)c1)C1CC1,1,0.64,88.61
c1ccc(COc2ccn(-c3ccccc3)n2)cc1,1,0.64,89.25
c1c2c(cc3c1CCOC3)CCC2,1,0.64,89.89
c1nncs1,1,0.64,90.53
N=c1ncnc[nH]1,1,0.64,91.17
O=c1ocnn1-c1ccccc1,1,0.64,91.81
c1ncsn1,1,0.64,92.45
O=C1OC2(C=C1c1ccccc1)CCCC2,1,0.64,93.09
c1ccc2[nH]c(-c3cscn3)nc2c1,1,0.64,93.73
C1=NN=CN(N=Cc2cccnc2)C1,1,0.64,94.37
O=c1oc2ccccc2cc1C1CC(c2ccc(-c3ccccc3)cc2)Cc2ccccc21,1,0.64,95.01
C(=NOCc1ccccc1)c1ccccc1,1,0.64,95.65
O=C1C=CCC(c2ccccc2)C1,1,0.64,96.29
C1=CC2CC1C1COCC21,1,0.64,96.93
O=c1sc2nc3ccccc3nc2s1,1,0.64,97.57
C(=Nc1ccccc1-c1ccccc1)c1cccnc1,1,0.64,98.21
C=C1C2CCC1c1c(N=Cc3cn[nH]c3)cccc12,1,0.64,98.85
C(=NNC=Nc1ccccc1)c1ccccn1,1,0.64,99.49
O=c1ccnc[nH]1,1,0.64,100.13
