scaffold_smiles,n_samples,coverage_pct,rmse,r2,mean_error
c1ccccc1,41,26.11,245.249,0.529,-57.288
,36,22.93,49.127,0.12,-7.478
c1ccncc1,5,3.18,567.428,-0.262,-239.998
c1ccc(-c2ccccc2)cc1,5,3.18,17270.072,-0.107,-7731.184
c1ccc2ccccc2c1,3,1.91,66.397,-296.454,65.917
c1ccc2c(c1)Oc1ccccc1O2,2,1.27,684.069,-7.152,492.954
c1ccc(Oc2ccccc2)cc1,2,1.27,101.418,-358.352,81.469
c1ccsc1,2,1.27,51.465,-2.28,13.454
O=C1CCCC(=O)C1C(=O)c1ccccc1,2,1.27,9.577,-747.756,9.521
O=C1C=CC(=O)c2ccccc21,2,1.27,10.044,-629.525,10.04
