fragment_smiles,frequency,mean_activity,activity_std
[16*]c1ccccc1,11,358.182,696.831
[3*]O[3*],6,22.917,0.0
[4*]CCCl,4,22.917,0.0
[16*]c1cc(Br)c(O)c(Br)c1,2,6.388,0.0
[16*]c1ccc(Cl)c(Cl)c1,2,1181.25,1570.367
[16*]c1ccccc1O,2,7.083,0.0
[3*]OC,2,7.083,0.0
[1*]C([6*])=O,2,22.917,0.0
[4*]C(C)CCl,2,22.917,0.0
[16*]c1c(Cl)c(Cl)cc(Cl)c1Cl,2,2291.667,0.0
[5*]N[5*],2,38.958,45.078
[6*]C(=O)O,2,7.083,0.0
[4*]C[8*],1,22.917,
[16*]c1ccccc1Cl,1,2291.667,
c1ccc2c(c1)oc1ccccc12,1,70.833,
[16*]c1cc(Cl)c(Cl)cc1Cl,1,2291.667,
[16*]c1cc(Cl)ccc1Cl,1,708.333,
[16*]c1ccc(Br)cc1Cl,1,9.035,
[8*]CCC,1,70.833,
[16*]c1ccc(Cl)cc1Cl,1,22.917,
[16*]c1cccc(Cl)c1,1,708.333,
[8*]CC,1,70.833,
[8*]C([8*])(C)C,1,6.388,
[4*]CCCC,1,22.917,
[16*]c1ccccc1[16*],1,22.917,
[3*]OCO[3*],1,22.917,
[3*]OP(=O)(O[3*])S[11*],1,9.035,
[5*]N(C)C,1,70.833,
[4*]CC,1,9.035,
[4*]CC(=O)O,1,22.917,
[4*]CCC,1,9.035,
BrC(Br)Br,1,229.167,
[1*]C([1*])=O,1,70.833,
C1=CCC=CC1,1,22.917,
[1*]C(=O)C(=C)C,1,7.083,
C1CCCCC1,1,22.917,
C=CCCC,1,22.917,
CCC=O,1,2.292,
CCCCCC,1,70.833,
CCCCCC(=O)O,1,7.083,
CCCCCCCC,1,70.833,
CCCCCO,1,2.292,
CSSC,1,2.82,
Cc1cc2ccccc2cc1C,1,70.833,
Cc1cccc(C)c1N,1,22.917,
Cc1ccccc1C,1,70.833,
ClC(Cl)(Cl)Cl,1,229.167,
Clc1c(Cl)c(Cl)c2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c32)c1Cl,1,2291.667,
Clc1cc(Cl)cc(Cl)c1,1,229.167,
Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,1,2291.667,
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,1,708.333,
Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,1,708.333,
Clc1ccc2c(c1)Oc1cc(Cl)ccc1O2,1,229.167,
Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,1,229.167,
Clc1ccc2c(c1)Oc1ccccc1O2,1,229.167,
Clc1cccc(Cl)c1Cl,1,229.167,
Clc1ccccc1Cl,1,229.167,
Ic1ccccc1,1,229.167,
O=Cc1ccccc1,1,2.292,
Oc1c(Br)cc(Br)cc1Br,1,6.694,
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,70.833,
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,1,70.833,
Oc1cc(Cl)c(Cl)cc1Cl,1,70.833,
Oc1ccc(Cl)cc1,1,22.917,
c1ccc2ncccc2c1,1,22.917,
