fragment_smiles,frequency,mean_activity,activity_std
[3*]O[3*],24,10.545,11.383
[16*]c1ccccc1,14,71.255,192.869
[4*]CC,10,79.05,221.377
[3*]OC,7,5.922,3.534
[1*]C([6*])=O,7,6.719,1.824
[16*]c1ccc([16*])cc1,6,8.455,7.315
[8*]CC,5,208.68,282.37
[4*]CC[4*],5,16.084,21.832
[6*]C(=O)O,4,2.375,3.31
[4*]CCC,4,14.758,9.944
[4*]CCCC,4,5.292,2.069
[4*]CCO,4,0.313,0.193
[5*]N[5*],4,362.392,399.661
[16*]c1ccc(N)cc1,4,8.043,1.108
[16*]c1ccccc1[16*],4,11.271,7.776
[5*]N(C)C,3,15.367,1.674
[4*]CC(=O)O,3,24.0,0.0
[4*]C(C)C,3,979.75,1117.541
[16*]c1ccccc1O,3,20.194,31.009
[3*]OP(=S)(OC)OC,3,27.1,17.147
[4*]C(C)CCl,2,22.917,0.0
[4*]CC(CC)CCCC,2,2.7,0.0
[11*]SC,2,34.908,16.959
[4*]CCCCCCC,2,8.0,0.0
[4*]CCCCCCCC,2,2.7,0.0
[11*]SP(=S)(OC)OC,2,110.646,153.236
[16*]c1c(Cl)cc(Cl)cc1Cl,2,2291.667,0.0
[3*]O[N+](=O)[O-],2,40.0,0.0
[16*]c1ccc([16*])c(C)c1,2,32.1,20.93
CCC(C)CCCC(C)CCCC(C)CCCC(C)C,2,28.0,0.0
[8*]CCl,2,2291.667,0.0
Cc1cc(C)cc(C)c1,2,3.21,0.0
[3*]OC(O)=NC,2,20.108,3.972
[16*]c1ccc(C)cc1,2,2.35,0.212
[8*]C(F)(F)F,2,16.45,15.627
[16*]c1cccc(C)c1,2,3.15,0.071
[8*]C(C)C,2,2.85,0.495
[1*]C(=O)CCCCC([1*])=O,2,2.7,0.0
[3*]OP(=O)(O[3*])O[3*],2,3.75,0.354
[1*]C(=O)N=C(O)c1c(F)cccc1F,1,32.0,
[16*]c1cccc([16*])c1[16*],1,518.0,
[16*]c1ccccc1Cl,1,708.333,
[16*]c1cccc2ccccc12,1,7.083,
[1*]C(=O)CC([4*])C([1*])=O,1,2.292,
[16*]c1cccc(Cl)c1,1,229.167,
[1*]C(=O)CCl,1,518.0,
[16*]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,2291.667,
[1*]C([1*])=O,1,7.083,
[16*]c1ccc([N+](=O)[O-])cc1,1,7.083,
[16*]c1ccc([N+](=O)[O-])c([16*])c1,1,27.5,
[14*]c1nc([14*])nc(Cl)n1,1,708.333,
[16*]c1ccc([16*])c(O)c1,1,10.7,
[15*]C1([15*])C(=C)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl,1,2291.667,
[16*]c1ccc([16*])c(Cl)c1,1,27.5,
[16*]c1ccc(O)cc1,1,2.7,
[16*]c1ccc(Cl)cc1,1,32.0,
[16*]c1ccc(Cl)c(Cl)c1Cl,1,708.333,
[16*]c1ccc(Cl)c(Cl)c1,1,708.333,
[16*]c1ccc(C)cc1C,1,3.2,
[15*]C1CCCCC1,1,3.7,
[16*]c1cc(O)ccc1[N+](=O)[O-],1,5.4,
[16*]c1cc(Cl)c(Cl)c(Cl)c1Cl,1,2291.667,
[11*]S[11*],1,17.2,
BrC(Br)Br,1,70.833,
[3*]OC(O)=Nc1cccc(Cl)c1,1,2208.0,
[3*]OC=O,1,2.292,
[8*]CCC,1,2.2,
[8*]CCCCC,1,3.7,
[8*]CCCCCCCCC,1,56.0,
[8*]CCCCCCCCCCC,1,10.2,
[8*]C[8*],1,9.002,
[Cl-],1,14.4,
c1cc2c(c3c1CCCC3)CCCC2,1,3.91,
c1cc2ccc3cccc4ccc(c1)c2c34,1,70.833,
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,1,70.833,
c1ccc2c(c1)-c1cccc3c1C2CCC3,1,21.9,
c1ccc2c(c1)-c1cccc3cccc-2c13,1,70.833,
c1ccc2c(c1)Oc1ccccc1O2,1,2.292,
c1ccc2c(c1)ccc1ccccc12,1,22.917,
c1ccc2c(c1)sc1ccccc12,1,72.4,
c1ccc2cc3ccccc3cc2c1,1,22.917,
[8*]CC(C)C,1,3.2,
[8*]C([8*])C(Cl)(Cl)Cl,1,7.083,
[8*]C(C)CC,1,3.2,
[5*]N([5*])[5*],1,24.0,
[4*]C(C)(C)C=NOC(O)=NC,1,22.917,
Oc1cccc(Br)c1,1,147.0,
[4*]CC(C)O,1,10.5,
[4*]CC(O)=NC,1,219.0,
[5*]N([5*])C,1,0.48,
[5*]N([5*])COC,1,518.0,
[5*]NC,1,7.083,
[7*]=CCCCCCCCC(=O)O,1,1.25,
[6*]C(=O)Cl,1,0.0,
[6*]C([6*])=O,1,10.7,
[7*]=C(c1ccc([16*])cc1)c1ccc([16*])cc1,1,14.4,
[7*]=C1C=CC(=[N+](C)C)C=C1,1,14.4,
[7*]=CCC=[7*],1,1.25,
[7*]=CCCCCC,1,1.25,
Oc1cccc(Cl)c1,1,36.0,
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,1,22.917,
Oc1ccc(Cl)cc1,1,2.292,
CCCC(C)C,1,10.4,
CCCC(CCC)CCC,1,5.1,
CCCC=O,1,2.292,
CCCCC(C)C,1,6.6,
CCCCC(C)CC,1,6.5,
