scaffold_smiles,count,coverage_pct,cumulative_pct
,67,38.29,38.29
c1ccccc1,48,27.43,65.72
c1ccc(-c2ccccc2)cc1,8,4.57,70.29
c1ccc2c(c1)ccc1ccccc12,4,2.29,72.58
c1ccc2c(c1)Oc1ccccc1O2,4,2.29,74.87
C1CCCCC1,4,2.29,77.16
c1ccc2ccccc2c1,3,1.71,78.87
c1cc2ccc3cccc4ccc(c1)c2c34,2,1.14,80.01
c1ccc(Cc2ccccc2)cc1,2,1.14,81.15
C1CCCC1,2,1.14,82.29
c1ccncc1,2,1.14,83.43
C=C1CC2CCC1C2,1,0.57,84.0
C1=C2CCCCC2C2CCc3ccccc3C2=C1,1,0.57,84.57
c1ccc2c(c1)-c1cccc3cccc-2c13,1,0.57,85.14
c1ccc(Sc2ccccc2)cc1,1,0.57,85.71
c1ccc2c(c1)-c1cccc3c1C2CCC3,1,0.57,86.28
C1=Cc2ccccc2Nc2ccccc21,1,0.57,86.85
O=C(c1ccccc1)c1ccccc1,1,0.57,87.42
c1ccccc1.c1ccccc1,1,0.57,87.99
[N+]=C1C=CC(=C(c2ccccc2)c2ccccc2)C=C1,1,0.57,88.56
c1ccc2c(c1)oc1ccccc12,1,0.57,89.13
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,1,0.57,89.7
C1CCC2CC3CCCCC3CC2C1,1,0.57,90.27
c1ccc(Oc2ccccc2)cc1,1,0.57,90.84
C1CCC2CCCCC2C1,1,0.57,91.41
c1ncncn1,1,0.57,91.98
N=c1nc[nH]c(=N)[nH]1,1,0.57,92.55
c1ccc2c(c1)sc1ccccc12,1,0.57,93.12
O=C1CN=C(c2ccccc2)c2ccccc2N1,1,0.57,93.69
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,1,0.57,94.26
c1ccc2c(c1)CCC2,1,0.57,94.83
C1CCC2C(C1)CCC1C3CCCCC3CCC21,1,0.57,95.4
O=C(N=Cc1ccccc1)Nc1ccccc1,1,0.57,95.97
C1CCC2CCCC2C1,1,0.57,96.54
c1cc2c(c3c1CCCC3)CCCC2,1,0.57,97.11
C1C[C@H]2C[C@@H]3CCC[C@]3(C1)C2,1,0.57,97.68
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,1,0.57,98.25
C1CCCCCCCCCCC1,1,0.57,98.82
c1ccc2c(c1)CCCC2,1,0.57,99.39
c1ccc2cc3ccccc3cc2c1,1,0.57,99.96
