scaffold_smiles,n_samples,coverage_pct,rmse,r2,mean_error
,67,38.29,36.367,0.372,-1.216
c1ccccc1,48,27.43,325.768,-0.026,-57.383
c1ccc(-c2ccccc2)cc1,8,4.57,188.208,0.958,-89.575
c1ccc2c(c1)ccc1ccccc12,4,2.29,8.23,-0.031,7.211
c1ccc2c(c1)Oc1ccccc1O2,4,2.29,21.513,0.27,9.495
C1CCCCC1,4,2.29,4.753,0.662,-1.562
c1ccc2ccccc2c1,3,1.71,3.694,-2470107199949965.0,0.617
c1cc2ccc3cccc4ccc(c1)c2c34,2,1.14,27.448,-63.538,-26.872
c1ccc(Cc2ccccc2)cc1,2,1.14,27.381,-813.883,14.908
C1CCCC1,2,1.14,12.868,-1.265,-9.8
