scaffold_smiles,n_samples,n_outside_ad,pct_outside_ad
c1cncnc1,1,1,100.0
C(=Nc1ccccc1)NC1CCCCC1,1,1,100.0
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,1,1,100.0
O=C(N=Cc1ccccc1)Nc1ccccc1,1,1,100.0
C1CCCCCCCCCCC1,1,1,100.0
C1C[C@H]2C[C@@H]3CCC[C@]3(C1)C2,1,1,100.0
O=c1c(-c2ccccc2)c[nH]cc1-c1ccccc1,1,1,100.0
O=C(c1ccccc1)n1ccc2ccccc21,1,1,100.0
c1ccc(Sc2ccccc2)cc1,1,1,100.0
c1ccc2ncccc2c1,1,1,100.0
C1=NC=NC1,1,1,100.0
c1ccc(Cc2ccccc2)cc1,1,1,100.0
O=C(c1ccccc1)c1ccccc1,2,1,50.0
c1ccc(Oc2ccccc2)cc1,2,1,50.0
c1ccccc1,38,12,31.6
,61,16,26.2
c1ccc2c(c1)Oc1ccccc1O2,5,1,20.0
C1CCCCC1,6,1,16.7
O=C1CCCCC1,1,0,0.0
c1ccc(C2CCCC(C3CCCCC3)C2)cc1,1,0,0.0
C1CCC2C(C1)CC1CCCCC12,1,0,0.0
c1ccc2c(c1)Cc1cc3ccccc3cc1-2,1,0,0.0
c1cc2c(c3c1CCCC3)CCCC2,1,0,0.0
c1ccc2c(c1)ccc1c3c(ccc12)CCCC3,1,0,0.0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1,0,0.0
c1ccc2c(c1)Cc1ccccc1-2,1,0,0.0
c1ccc2c(c1)CCC2,1,0,0.0
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,1,0,0.0
c1ccc(-c2ccccc2C2CCCCC2)cc1,1,0,0.0
C1CCC2CCCCC2C1.C1CCC2CCCCC2C1,1,0,0.0
c1ccc2c(c1)ccc1ccccc12,1,0,0.0
c1ccc2c(c1)CCCC2,2,0,0.0
c1ccccc1.c1ccccc1,1,0,0.0
c1ccc2cc3c(ccc4ccccc43)cc2c1,1,0,0.0
c1cc2ccc3cccc4ccc(c1)c2c34,1,0,0.0
c1ccc2ccccc2c1,2,0,0.0
C=C(c1ccccc1)c1ccccc1,1,0,0.0
c1ccc(-c2ccccc2)cc1,4,0,0.0
N=c1nc[nH]c(=N)[nH]1,1,0,0.0
c1ccc2c(c1)ccc1c3ccccc3ccc21,1,0,0.0
C1=C2CCCCC2C2CCc3ccccc3C2=C1,1,0,0.0
c1ccc2c(c1)sc1ccccc12,1,0,0.0
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,1,0,0.0
c1ccc2c(c1)oc1ccccc12,1,0,0.0
c1cc2c3c(ccc4c3c1CCC4)CCC2,1,0,0.0
