fragment_smiles,frequency,mean_activity,activity_std
[3*]O[3*],21,9.593,11.764
[16*]c1ccccc1,18,35.821,54.308
[4*]CC,9,35.014,60.684
[3*]OC,8,16.503,22.788
[4*]CCO,7,4.488,5.998
[4*]CC[4*],6,16.07,19.527
[1*]C([6*])=O,5,4.088,3.648
[8*]CC,5,222.647,271.03
[16*]c1ccc([16*])cc1,4,12.142,5.841
[5*]N[5*],3,13.328,16.464
[8*]C(C)C,3,15.272,10.578
[8*]C(F)(F)F,3,40.967,43.878
[3*]OP(=S)(OC)OC,3,27.1,17.147
[4*]CC(=O)O,3,24.0,0.0
[16*]c1ccc(Cl)cc1,3,93.022,118.115
[16*]c1ccccc1[16*],3,25.29,36.297
Cc1cc(C)cc(C)c1,2,3.21,0.0
[4*]CC(C)C,2,0.87,0.0
[4*]CCCCCCCC,2,2.7,0.0
[4*]CCCCCCC,2,8.0,0.0
[11*]SC,2,34.908,16.959
[4*]CCCC,2,3.5,0.0
[4*]CCC,2,6.6,5.515
[4*]CC(CC)CCCC,2,2.7,0.0
[1*]C(=O)CCl,2,294.417,316.195
[15*]C1CCCCC1,2,35.2,44.972
[16*]c1cc(Cl)c(Cl)c(Cl)c1,2,2291.667,0.0
[3*]O[N+](=O)[O-],2,40.0,0.0
[16*]c1ccc([N+](=O)[O-])cc1,2,15.0,11.196
[16*]c1cccc([16*])c1,2,70.5,27.577
[16*]c1ccccc1C,2,3.25,0.071
[3*]OP(=S)(O[3*])O[3*],2,108.458,120.974
[1*]C(=O)CCCCC([1*])=O,2,2.7,0.0
[5*]N([5*])[5*],2,47.417,33.116
C1CCC2CCCCC2C1,2,66.0,0.0
[6*]C([6*])=O,2,8.892,2.557
[5*]N(C)C,1,7.083,
c1ccc2c(c1)ccc1c3ccccc3ccc21,1,70.833,
[16*]c1cccc(C)c1,1,3.2,
[16*]c1ccc2cc(C)c(C)cc2c1,1,3.77,
[16*]c1ccc2c(ccc3c(C)cccc32)c1,1,19.7,
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1,70.833,
[16*]c1ccc([N+](=O)[O-])c([16*])c1,1,27.5,
c1ccc2c(c1)ccc1c3c(ccc12)CCCC3,1,7.4,
[16*]c1ccc([16*])c(O)c1,1,10.7,
[16*]c1ccc([16*])c(Cl)c1,1,27.5,
[16*]c1ccc([16*])c(C)c1,1,46.9,
