scaffold_smiles,count,coverage_pct,cumulative_pct
,61,38.61,38.61
c1ccccc1,38,24.05,62.66
C1CCCCC1,6,3.8,66.46
c1ccc2c(c1)Oc1ccccc1O2,5,3.16,69.62
c1ccc(-c2ccccc2)cc1,4,2.53,72.15
c1ccc2c(c1)CCCC2,2,1.27,73.42
c1ccc(Oc2ccccc2)cc1,2,1.27,74.69
c1ccc2ccccc2c1,2,1.27,75.96
O=C(c1ccccc1)c1ccccc1,2,1.27,77.23
C1C[C@H]2C[C@@H]3CCC[C@]3(C1)C2,1,0.63,77.86
c1ccc(Sc2ccccc2)cc1,1,0.63,78.49
c1ccc2ncccc2c1,1,0.63,79.12
O=C1CCCCC1,1,0.63,79.75
c1ccc(C2CCCC(C3CCCCC3)C2)cc1,1,0.63,80.38
O=C(N=Cc1ccccc1)Nc1ccccc1,1,0.63,81.01
C1CCCCCCCCCCC1,1,0.63,81.64
c1ccc2c(c1)CCC2,1,0.63,82.27
c1cc2c(c3c1CCCC3)CCCC2,1,0.63,82.9
O=c1c(-c2ccccc2)c[nH]cc1-c1ccccc1,1,0.63,83.53
c1ccc(-c2ccccc2C2CCCCC2)cc1,1,0.63,84.16
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1,0.63,84.79
c1ccc2c(c1)Cc1ccccc1-2,1,0.63,85.42
C1CCC2C(C1)CC1CCCCC12,1,0.63,86.05
C1=NC=NC1,1,0.63,86.68
c1ccc2c(c1)ccc1c3c(ccc12)CCCC3,1,0.63,87.31
c1ccc2c(c1)Cc1cc3ccccc3cc1-2,1,0.63,87.94
O=C(c1ccccc1)n1ccc2ccccc21,1,0.63,88.57
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,1,0.63,89.2
c1ccc2c(c1)oc1ccccc12,1,0.63,89.83
c1cncnc1,1,0.63,90.46
c1ccc(Cc2ccccc2)cc1,1,0.63,91.09
c1ccc2c(c1)ccc1ccccc12,1,0.63,91.72
c1ccccc1.c1ccccc1,1,0.63,92.35
c1ccc2cc3c(ccc4ccccc43)cc2c1,1,0.63,92.98
C(=Nc1ccccc1)NC1CCCCC1,1,0.63,93.61
c1cc2ccc3cccc4ccc(c1)c2c34,1,0.63,94.24
C1CCC2CCCCC2C1.C1CCC2CCCCC2C1,1,0.63,94.87
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,1,0.63,95.5
C=C(c1ccccc1)c1ccccc1,1,0.63,96.13
N=c1nc[nH]c(=N)[nH]1,1,0.63,96.76
c1ccc2c(c1)ccc1c3ccccc3ccc21,1,0.63,97.39
C1=C2CCCCC2C2CCc3ccccc3C2=C1,1,0.63,98.02
c1ccc2c(c1)sc1ccccc12,1,0.63,98.65
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,1,0.63,99.28
c1cc2c3c(ccc4c3c1CCC4)CCC2,1,0.63,99.91
