fragment_smiles,frequency,mean_activity,activity_std
[3*]O[3*],6,13.403,10.568
[4*]CCC,5,12.458,9.745
[5*]N[5*],4,365.625,395.725
[16*]c1ccccc1Cl,4,864.583,977.836
[4*]CC,4,190.312,345.428
[4*]CCCl,3,22.917,0.0
[4*]C(C)C,3,283.333,368.061
[16*]c1cc(Cl)c(Cl)c(Cl)c1Cl,2,2291.667,0.0
[16*]c1cc(Cl)ccc1Cl,2,2291.667,0.0
[16*]c1ccc(Cl)c(Cl)c1Cl,2,2291.667,0.0
[14*]c1nc([14*])nc(Cl)n1,2,365.625,484.663
[16*]c1ccc(Cl)cc1,2,229.167,0.0
[16*]c1ccc(Cl)cc1Cl,2,115.729,160.425
[1*]C(=O)S[11*],2,38.958,45.078
[16*]c1ccc(N)cc1,2,9.002,0.0
[16*]c1ccccc1,2,126.042,145.841
[4*]C(C)CCl,2,22.917,0.0
[5*]N([5*])[5*],2,38.958,45.078
[4*]CC(=O)O,1,2.292,
[4*]CC(Cl)=CCl,1,70.833,
[3*]OP(=S)(OC)OC,1,22.917,
[3*]OC=C,1,22.917,
[5*]NC,1,7.083,
[16*]c1cccc2c1OC(C)(C)C2,1,7.083,
[16*]c1ccc([N+](=O)[O-])cc1,1,22.917,
[8*]CCC,1,22.917,
[8*]C[8*],1,9.002,
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1,70.833,
c1ccc2c(c1)ccc1c3ccccc3ccc21,1,70.833,
c1ccc2c(c1)ccc1ccccc12,1,22.917,
c1ccc2cc3c(ccc4ccccc43)cc2c1,1,70.833,
[16*]c1ccc(Cl)c(Cl)c1,1,708.333,
C1CCCCC1,1,22.917,
CCC(=O)CC,1,7.083,
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,2291.667,
CCCCC,1,22.917,
CCCCCC(C)=O,1,7.083,
CCCCCCO,1,2.292,
CCCl,1,70.833,
Cc1cc(C)c(C)cc1C,1,22.917,
Cc1cc2ccccc2cc1C,1,7.083,
Cc1ccc(C)c(C)c1,1,22.917,
Cc1ccc(C)cc1,1,22.917,
Cc1ccc([N+](=O)[O-])cc1,1,2.292,
Cc1ccccc1[N+](=O)[O-],1,2.292,
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,1,22.917,
ClCCl,1,70.833,
Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2,1,7.083,
[16*]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,2291.667,
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,1,22.917,
Clc1ccc(Cl)c(Cl)c1Cl,1,229.167,
Clc1ccc(Cl)cc1,1,70.833,
Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,1,22.917,
Clc1ccc2c(c1)Oc1ccccc1O2,1,7.083,
Clc1ccccc1,1,70.833,
Fc1ccccc1,1,7.083,
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,22.917,
Oc1ccc(Cl)cc1,1,2.292,
Oc1ccc(Cl)cc1Cl,1,2.292,
[1*]C(C)=O,1,2.292,
[1*]C([1*])=O,1,7.083,
c1ccc2ncccc2c1,1,7.083,
