smiles,split,y_log10,y_lower,y_upper
c1ccc(-c2ccccc2)cc1,train,-0.14976232033333228,0.176,0.671
Clc1cc(Cl)c(Cl)c(Cl)c1,train,0.36015144778263847,1.661,2.164
CC=O,train,1.3601514477826384,-0.982,-0.339
CN(C)N=O,train,0.36015144778263847,-0.982,-0.339
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,train,0.8502376796666677,0.671,1.176
c1ccncc1,train,-0.6812412373755878,1.176,1.661
Clc1ccc(-c2ccccc2Cl)cc1Cl,train,1.8502376796666677,1.176,1.661
Nc1ccc2ccccc2c1,train,-0.6812412373755878,-0.982,-0.339
COC(C)(C)C,train,1.3601514477826384,-0.339,0.176
Cc1cccnc1,train,-0.14976232033333228,1.176,1.661
C=COCCCl,train,-0.6812412373755878,-0.339,0.176
CCCC(=O)O,train,0.36015144778263847,0.176,0.671
Clc1ccc(Cl)c(Cl)c1Cl,train,0.8502376796666677,1.661,2.164
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,train,0.8502376796666677,2.661,3.176
CCO,train,0.36015144778263847,0.176,0.671
Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,train,0.8502376796666677,0.671,1.176
CC(=O)c1ccccc1,train,-0.14976232033333228,1.176,1.661
CCCCN=C(O)n1c(N=C(O)OC)nc2ccccc21,train,1.3601514477826384,-0.982,-0.339
OCc1ccccc1,train,-0.14976232033333228,0.176,0.671
Cc1ccc(O)c(C)c1,train,1.3601514477826384,-0.339,0.176
COCCl,train,0.36015144778263847,-0.339,0.176
Cc1cc(Cl)ccc1OC(C)C(=O)O,train,1.3601514477826384,-0.339,0.176
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,train,0.36015144778263847,0.176,0.671
C1CCCC1,train,-0.14976232033333228,-0.339,0.176
Clc1cccc(-c2cccc(Cl)c2)c1,train,0.36015144778263847,0.671,1.176
ClCCl,train,0.8502376796666677,1.661,2.164
C1=CCCC1,train,0.8502376796666677,-0.982,-0.339
CNC,train,0.36015144778263847,-0.982,-0.339
c1ccc2c(c1)Cc1ccccc1-2,train,0.8502376796666677,0.176,0.671
Clc1cc(Cl)cc(Cl)c1,train,-0.14976232033333228,1.176,1.661
O=C(O)c1ccccc1Cl,train,0.36015144778263847,0.671,1.176
Oc1ccccc1O,train,0.36015144778263847,-0.339,0.176
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,train,0.36015144778263847,0.671,1.176
C1=CCC=CC1,train,-0.6812412373755878,-0.982,-0.339
c1ccccc1,train,0.8502376796666677,-0.339,0.176
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,train,-0.14976232033333228,0.176,0.671
