smiles,split,leverage_h,h_star,in_ad_leverage,in_interval,interval_loss
CCCCC,train,0.742422429675162,1.9506172839506173,True,False,0.22773659039270244
c1ccc(Oc2ccccc2)cc1,train,0.6586296042448092,1.9506172839506173,True,False,0.42608819945961507
Clc1cccc(-c2ccccc2)c1,train,0.9958847737061118,1.9506172839506173,True,False,0.5007684566079926
C1CCOC1,train,0.41929963610959275,1.9506172839506173,True,False,0.00799683709156973
C1=CCCC1,train,0.9828050543307327,1.9506172839506173,True,True,0.0
COC(C)=O,train,0.16376482052815977,1.9506172839506173,True,False,0.639935682178923
Cc1ncc([N+](=O)[O-])n1CCO,train,0.5301327191602674,1.9506172839506173,True,False,0.007278271105198186
Clc1ccc2oc3ccc(Cl)cc3c2c1,train,0.2096423696685995,1.9506172839506173,True,False,0.16678161141255288
Oc1cc(Cl)ccc1Cl,train,0.13387690726538104,1.9506172839506173,True,True,0.0
COC=O,train,0.24355132052346073,1.9506172839506173,True,True,0.0
CCOCN(C(=O)CCl)c1c(C)cccc1CC,train,0.9827046087357889,1.9506172839506173,True,True,0.0
Clc1ccc(N=Nc2ccc(Cl)cc2)cc1,train,0.5896167744579839,1.9506172839506173,True,True,0.0
C1CCCC1,train,0.5680656702165563,1.9506172839506173,True,True,0.0
Clc1ccc(Cl)c(Cl)c1,train,0.559622604171484,1.9506172839506173,True,False,0.33106552346595697
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,train,0.9736095358992312,1.9506172839506173,True,False,0.12613962278477286
Cc1ccccc1N,train,0.6640713342259125,1.9506172839506173,True,False,0.5610661772154271
COCCl,train,0.643391688528021,1.9506172839506173,True,False,0.28171031456497264
C=CC(=C)Cl,train,0.750712987534488,1.9506172839506173,True,False,0.5136479027134069
CCCSP(=S)(OCC)Oc1ccc(SC)cc1,train,0.8413062282512076,1.9506172839506173,True,True,0.0
c1ccc2c(c1)Cc1ccccc1-2,train,0.22921864453960183,1.9506172839506173,True,False,0.23541629556293797
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,train,0.9912883485420816,1.9506172839506173,True,False,1.1982678881483575
c1ccoc1,train,0.8798159521162789,1.9506172839506173,True,True,0.0
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,train,0.4513186609654123,1.9506172839506173,True,False,0.5256673959976328
COc1ccccc1,train,0.31444268715157686,1.9506172839506173,True,False,0.25117335629001447
O=C(O)c1ccccc1C(=O)O,train,0.28901479295272936,1.9506172839506173,True,False,0.8035952574219021
CO,train,0.703791883401021,1.9506172839506173,True,False,1.4744741482755102
O=CO,train,0.5632760376335053,1.9506172839506173,True,False,0.499176402554967
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,train,0.9071753214398091,1.9506172839506173,True,False,1.1813807337225612
C=COCCCl,train,0.3820665961034748,1.9506172839506173,True,False,0.26000461788955387
Nc1cccc(Cl)c1,train,0.2639350720318181,1.9506172839506173,True,False,0.03721619884856597
CCCC=O,train,0.5251170654269732,1.9506172839506173,True,False,1.9843479257763
O=C(O)c1ccccc1O,train,0.6314698285419871,1.9506172839506173,True,False,0.5036022839259091
Oc1cccc(Cl)c1,train,0.22311410474179438,1.9506172839506173,True,False,0.1262513111589576
C=CCC=C,train,0.826216505694326,1.9506172839506173,True,True,0.0
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,train,0.8685742391296207,1.9506172839506173,True,False,0.47449513669593846
Oc1cccc(O)c1,train,0.48767026663113866,1.9506172839506173,True,False,2.5540613465739126
CCCCCCCCO,train,0.8262165056903115,1.9506172839506173,True,False,0.9840001224764976
Cc1cccc2ccccc12,train,0.2128821318668901,1.9506172839506173,True,True,0.0
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,train,0.9925027858575763,1.9506172839506173,True,True,0.0
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,train,0.37359340560544174,1.9506172839506173,True,False,1.615770113262572
Oc1ccc(Cl)c(Cl)c1,train,0.18982236984720302,1.9506172839506173,True,True,0.0
CC(=O)O,train,0.7059548967408933,1.9506172839506173,True,False,0.01566419435218891
CCCCC(CC)C(=O)O,train,0.7084029799049767,1.9506172839506173,True,True,0.0
OCc1ccccc1,train,0.740209525254012,1.9506172839506173,True,False,0.3502768816900472
CCCCCCCCCCCCCCCC(=O)O,train,0.8731669749992781,1.9506172839506173,True,False,0.34933102413525896
N=C(O)c1ccccc1,train,0.7358002988554755,1.9506172839506173,True,False,0.12582370696984024
c1ccc2sccc2c1,train,0.29953346676621917,1.9506172839506173,True,False,0.0035858128127803646
CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],train,0.9250528739874859,1.9506172839506173,True,False,0.40906815308777267
Nc1ccc(Sc2ccc(N)cc2)cc1,train,0.9958847736728862,1.9506172839506173,True,False,0.1486074474458245
CCOCn1c(-c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F,train,0.9958847736464271,1.9506172839506173,True,True,0.0
CCCOCCC,train,0.15334053723302188,1.9506172839506173,True,True,0.0
O=C(O)C(=O)O,train,0.9958696708056105,1.9506172839506173,True,False,0.7284148831654913
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,train,0.23873229526375428,1.9506172839506173,True,False,0.6157564825841666
O=C(O)CCl,train,0.20407955122658872,1.9506172839506173,True,False,0.22603439987417628
ClCBr,train,0.7947958898145595,1.9506172839506173,True,True,0.0
Nc1ccccc1Cl,train,0.5373100250047187,1.9506172839506173,True,False,0.6105993008286545
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,train,0.577805593720488,1.9506172839506173,True,True,0.0
Clc1cccc(Cl)c1,train,0.5118806502685078,1.9506172839506173,True,False,0.3796200505112388
O=NN(c1ccccc1)c1ccccc1,train,0.7284670801769481,1.9506172839506173,True,True,0.0
c1ccc2c(c1)ccc1c3ccccc3ccc21,train,0.6373427614814497,1.9506172839506173,True,False,1.6803353017359985
CCOC(=O)c1ccccc1C(=O)OCC,train,0.39665422332073114,1.9506172839506173,True,True,0.0
CCCCCCCCCCCC,train,0.9228024909242936,1.9506172839506173,True,False,0.28822457710794835
c1ccc2c(c1)ccc1ccccc12,train,0.8671130199525829,1.9506172839506173,True,False,0.7780450485516905
Clc1ccccc1,train,0.7804838385619786,1.9506172839506173,True,False,0.7655362918577724
O=[N+]([O-])c1ccccc1O,train,0.23970934078910888,1.9506172839506173,True,False,0.6106447873881689
CC1CCCCC1,train,0.7439309528639471,1.9506172839506173,True,False,0.04854560871126479
ClCCl,train,0.16837994217633726,1.9506172839506173,True,False,0.010941284938636109
NCCO.O=[N+]([O-])c1ccc(N=C(O)c2cc(Cl)ccc2O)c(Cl)c1,train,0.9387700604014575,1.9506172839506173,True,False,1.2602985264502244
CCCCCC(C)=O,train,0.9958847736556549,1.9506172839506173,True,False,0.9889197912383811
CCC#N,train,0.3749103529983425,1.9506172839506173,True,False,0.07850125134933927
Nc1ccc2ccccc2c1,train,0.8229754973025609,1.9506172839506173,True,False,0.486305699417112
O=C(O)c1ccccc1,train,0.7120032222724682,1.9506172839506173,True,False,0.1254688993974804
C=CC=O,train,0.1818793772313595,1.9506172839506173,True,False,0.9839854830086934
ClC(Cl)(Cl)C(Cl)(Cl)Cl,train,0.7571994088789894,1.9506172839506173,True,True,0.0
Clc1cc(Cl)c(Cl)c(Cl)c1,train,0.9958847736658148,1.9506172839506173,True,True,0.0
CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,train,0.3527903686583764,1.9506172839506173,True,False,1.5453797017657611
CCN=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,train,0.3914006492773199,1.9506172839506173,True,False,1.3963267419251237
OCCO,train,0.7041250788872899,1.9506172839506173,True,True,0.0
C=COC(C)=O,train,0.39355967454200713,1.9506172839506173,True,False,0.4995192413767655
COc1ccccc1O,train,0.4071230534124678,1.9506172839506173,True,False,0.8064565734973406
Cc1cccc(C)c1,train,0.751295334638716,1.9506172839506173,True,False,1.1645690579853025
O=[N+]([O-])c1cccc(Cl)c1,train,0.3031226507119027,1.9506172839506173,True,False,0.03416761016973835
CC(C)=O,train,0.7103751319669027,1.9506172839506173,True,False,0.016164589339070945
Cc1cc2ccccc2cc1C,train,0.9612063022081168,1.9506172839506173,True,False,0.14186770234334212
CC(=O)CC(C)C,train,0.3776869971299681,1.9506172839506173,True,False,0.32020640196948325
CCCCO,train,0.38743361511796315,1.9506172839506173,True,False,0.2578192809012343
O=C(O)c1ccccc1Cl,train,0.9056793960178542,1.9506172839506173,True,False,0.60345127184027
CON(C)C(O)=Nc1ccc(Cl)c(Cl)c1,train,0.7304089933013529,1.9506172839506173,True,False,0.3147997759420569
CCN,train,0.5342646781823743,1.9506172839506173,True,False,0.21723299206669844
COC(=O)c1ccccc1S(=O)(=O)NC(O)=Nc1nc(OC(F)F)cc(OC(F)F)n1,train,0.9681202629591197,1.9506172839506173,True,False,0.3732224055776703
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,train,0.9958847737068105,1.9506172839506173,True,True,0.0
CCN=c1nc(NC(C)(C)C)[nH]c(SC)n1,train,0.750120830028951,1.9506172839506173,True,False,0.5137085173848179
CCOC(C)=O,train,0.6434287224511233,1.9506172839506173,True,False,0.8467621787304047
CN(C)N=O,train,0.9323746641342603,1.9506172839506173,True,False,0.004140405154434923
CC(C)c1ccccc1,train,0.6487685725750998,1.9506172839506173,True,False,0.2495381486858952
C=Cc1ccccc1,train,0.7430058747308014,1.9506172839506173,True,True,0.0
ClC(Cl)C(Cl)(Cl)Cl,train,0.33178873283875987,1.9506172839506173,True,False,1.011217967432987
CCCCN,train,0.558724382420098,1.9506172839506173,True,False,0.8744298579650203
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],train,0.9958847736543798,1.9506172839506173,True,False,0.48872955983170874
Clc1ccc(Cl)c(Cl)c1Cl,train,0.36860189442572766,1.9506172839506173,True,True,0.0
CCCCCCCCn1sccc1=O,train,0.8220976900915952,1.9506172839506173,True,False,0.9066319426644192
C1=CCCCC1,train,0.7484396346267497,1.9506172839506173,True,False,0.12696121036424257
CCN(CC)C(=O)SCc1ccc(Cl)cc1,train,0.9045998607418878,1.9506172839506173,True,True,0.0
Oc1ccccc1O,train,0.7025400544041092,1.9506172839506173,True,False,0.25369956592863474
c1ccc(-c2ccccc2)cc1,train,0.475348155262427,1.9506172839506173,True,False,0.41421540924369316
Oc1cc(Cl)c(Cl)c(Cl)c1,train,0.27300832671822306,1.9506172839506173,True,True,0.0
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,train,0.9460405560803857,1.9506172839506173,True,True,0.0
COP(=O)(N=C(C)O)SC,train,0.9958847736639639,1.9506172839506173,True,True,0.0
Cc1cc(C)c(C)cc1C,train,0.41693883986682234,1.9506172839506173,True,True,0.0
C=C(C)C(=O)OC,train,0.32396325426394035,1.9506172839506173,True,True,0.0
CCOC=O,train,0.3087315526643546,1.9506172839506173,True,False,0.12592271349788486
CC(C)(C)O,train,0.9228024910124366,1.9506172839506173,True,False,0.4993929363376406
C=CC#N,train,0.22673305829285395,1.9506172839506173,True,False,1.0876729882109806
O=C(O)CNCP(=O)(O)O,train,0.9958847736760378,1.9506172839506173,True,False,0.3847833161101828
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,train,0.48463116247529114,1.9506172839506173,True,False,1.7546981595337126
COC,train,0.7120032222732866,1.9506172839506173,True,False,0.610814385500146
