smiles,split,y_log10,y_lower,y_upper
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,train,1.3117538610557542,0.671,1.176
CCC=O,train,1.8502376796666677,0.176,0.671
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,train,1.6444385894678386,3.176,inf
c1ccc2sccc2c1,train,2.3601514477826386,1.661,2.164
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1C(Br)C(Br)(Br)Br,train,0.8502376796666677,1.661,2.164
OC(=NCc1ncc(C(F)(F)F)cc1Cl)c1c(Cl)cccc1Cl,train,3.3601515,2.164,2.661
CCCN(CCC)N=O,train,1.8502376796666677,1.661,2.164
O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccc(Cl)cc1,train,0.506279438339369,1.661,2.164
CN=C(NCc1cnc(Cl)s1)N[N+](=O)[O-],train,2.2833012287035497,2.661,3.176
CC(N=C(O)c1cc(Cl)cc(Br)c1N=C(O)c1cc(Br)nn1-c1ncccc1Cl)C1CC1,train,-0.9208187539523752,2.661,3.176
Clc1ccc2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,train,1.6074550232146685,2.164,2.661
CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl,train,1.3979400086720377,0.176,0.671
CCC(C)Nc1c([N+](=O)[O-])cc(C(C)(C)C)cc1[N+](=O)[O-],train,2.110589710299249,1.661,2.164
ClCC(Br)CBr,train,0.8195439355418687,0.671,1.176
CC(C)N1C(=O)N(c2ccccc2)CSC1=NC(C)(C)C,train,1.380211241711606,1.661,2.164
CCN=c1nc(Cl)[nH]c(=NCC)[nH]1,train,1.8502376796666677,1.661,2.164
Clc1cc(-c2cccc(Cl)c2Cl)cc(Cl)c1Cl,train,1.591064607026499,3.176,inf
c1ccc2cc3ccccc3cc2c1,train,2.8502376796666677,2.164,2.661
CCCOCCC,train,1.8502376796666677,1.176,1.661
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)C=CC(C)=C[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,train,0.8502376796666677,0.176,0.671
O=C(O)CNCP(=O)(O)O,train,2.4104060270683574,1.661,2.164
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,train,1.8976270912904414,3.176,inf
Cc1cccc(C)n1,train,1.4771212547196624,1.176,1.661
Oc1ccc(Br)cc1,train,1.2648178230095364,1.176,1.661
N=c1cc[nH]cc1,train,2.9822712330395684,2.661,3.176
CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],train,1.7403626894942439,1.661,2.164
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,train,3.2062860444124324,2.164,2.661
OC(=Nc1cc(Cl)c(OC(F)(F)C(F)F)c(Cl)c1)N=C(O)c1c(F)cccc1F,train,2.2600713879850747,2.164,2.661
Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,train,2.2695129442179165,2.661,3.176
CC1(C)S[C@@H]2[C@H](N=C(O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,train,1.8325089127062364,-0.339,0.176
O=C1C=CC(=O)c2ccccc21,train,0.07918124604762482,-0.339,0.176
CCCOc1nc2ccc(I)cc2c(=O)n1CCC,train,2.3601515,1.661,2.164
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,train,1.3601514,2.164,2.661
CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,train,2.5943925503754266,2.164,2.661
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@@H]4C=C[C@H]3C4)[C@@]1(Cl)C2(Cl)Cl,train,1.8502376796666677,2.661,3.176
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,train,0.36015144778263847,2.164,2.661
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,train,1.8502377,3.1051944931227426,9999999.0
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,train,2.539828558377898,0.671,1.176
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl,train,2.9242792860618816,3.176,inf
Cc1nn(C)c(Oc2ccccc2)c1C=NOCc1ccc(C(=O)OC(C)(C)C)cc1,train,2.4983105537896004,1.661,2.164
Cc1cc(OC(C)C)ccc1C(=O)C(C)(C)N=C(O)c1sccc1C,train,3.3601515,1.176,1.661
Clc1ccc(-c2ccccc2)c(Cl)c1Cl,train,2.3404441148401185,3.176,inf
O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21,train,1.0,2.164,2.661
Cc1ccc([N+](=O)[O-])cc1,train,1.8502376796666677,1.661,2.164
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,train,0.8502376796666677,2.164,2.661
CN=C(O)C=C(C)OP(=O)(OC)OC,train,1.146128035678238,0.671,1.176
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,train,2.3601515,2.6051947773879944,3.1051944931227426
COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],train,2.1958996524092336,0.671,1.176
CNC.O=C(O)COc1ccc(Cl)cc1Cl,train,1.3617278360175928,1.176,1.661
O=C(O)Cc1cccc2ccccc12,train,1.0,0.671,1.176
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,train,-0.3372421683184259,3.176,inf
CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,train,1.429752280002408,1.661,2.164
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,train,2.103803720955957,2.661,3.176
CCN(CC)C(=O)SCc1ccc(Cl)cc1,train,0.17609125905568124,1.661,2.164
Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,train,1.8502377,3.1051944931227426,9999999.0
C#CCOc1ccc(CCN=C(O)C(OCC#C)c2ccc(Cl)cc2)cc1OC,train,2.8502376,1.661,2.164
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,train,0.9867717342662449,2.164,2.661
CCCCSP(=O)(SCCCC)SCCCC,train,0.8502376796666677,2.661,3.176
CC1=NN=C(O)N(N=Cc2cccnc2)C1,train,3.0322157032979815,1.176,1.661
Oc1ccc(Cl)c(Cl)c1,train,1.255272505103306,1.176,1.661
CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,train,1.8502377,0.671,1.176
CCSC(=O)N1CCCCCC1,train,0.9444826721501687,2.164,2.661
ClC=CCCl,train,0.6020599913279624,0.176,0.671
CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,train,1.3222192947339193,1.176,1.661
CC(C)N=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,train,1.6232492903979006,1.661,2.164
CC(C)N=C(O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,train,1.0791812460476249,1.176,1.661
O=C1CCCCC1,train,1.3601514477826384,0.671,1.176
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,train,3.3601515,1.6051967003352314,2.1051938577031817
CN(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],train,0.9242792860618817,1.661,2.164
CCC(C)n1c(O)nc(C)c(Br)c1=O,train,1.4471580313422192,2.164,2.661
c1ccc2[nH]c(-c3cscn3)nc2c1,train,0.36172783601759284,2.164,2.661
CCCCO,train,1.3601514477826384,0.176,0.671
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,train,2.3601514477826386,2.661,3.176
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,train,1.662757831681574,0.671,1.176
O=CCCCC=O,train,2.1903316981702914,0.176,0.671
COc1cc(OC)nc(N=C(O)NS(=O)(=O)c2cc(N=CO)ccc2C(=O)N(C)C)n1,train,2.255272505103306,1.176,1.661
CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,train,0.8257071,0.671,1.176
Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,train,0.6434526764861874,2.661,3.176
O=C(O)CCl,train,2.3601514477826386,1.176,1.661
CCSC(=O)N(CC(C)C)CC(C)C,train,0.2304489213782739,1.176,1.661
Clc1ccc(Cl)c(Cl)c1Cl,train,3.3601514477826386,2.164,2.661
CCCCOC(C)=O,train,1.8502376796666677,0.671,1.176
CCCN(CCC)c1c([N+](=O)[O-])cc(S(C)(=O)=O)cc1[N+](=O)[O-],train,3.562530768862261,1.661,2.164
c1ccc2c(c1)oc1ccccc12,train,0.8502376796666677,1.661,2.164
CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,train,2.1760912590556813,1.176,1.661
Clc1cccc(Cl)c1,train,0.8502376796666677,2.164,2.661
CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)CC)n1,train,2.7058637122839193,1.661,2.164
CCOP(=S)(OCC)SCCSCC,train,2.214843848047698,1.661,2.164
CC(C)OC(O)=N[C@H](C(O)=N[C@H](C)c1nc2ccc(F)cc2s1)C(C)C,train,0.8450980400142568,1.176,1.661
CC1=CCC(=C(C)C)CC1,train,3.113943352306837,0.176,0.671
CC=C(C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C(=O)OC)CO[C@H]3[C@@H](O)[C@@](C)([C@]45O[C@@]4(C)[C@H]4C[C@@H]5O[C@@H]5OC=C[C@@]54O)[C@H]4[C@]1(CO[C@]4(O)C(=O)OC)[C@@H]32,train,1.0791812460476249,1.661,2.164
ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl,train,1.8502376796666677,2.661,3.176
