class_value,log10_class,log10_lower,log10_upper
0.000173611,-3.7604227613717693,-3.765472924823932,-3.7553725979196066
0.002305555,-2.6372245130404988,-2.6422746764926615,-2.632174349588336
0.00625,-2.2041199826559246,-2.2091701461080877,-2.1990698192037614
0.01736,-1.760450279159527,-1.7655004426116898,-1.755400115707364
0.0625,-1.2041199826559248,-1.2091701461080877,-1.1990698192037619
0.07916667,-1.101457622472694,-1.1065077859248569,-1.096407459020531
0.1,-1.0,-1.005050163452163,-0.9949498365478371
0.13,-0.8860566476931632,-0.8911068111453261,-0.8810064842410003
0.1416,-0.8489367466462497,-0.8539869100984127,-0.8438865831940868
0.1625,-0.7891466346851068,-0.7941967981372697,-0.7840964712329439
0.17,-0.769551078621726,-0.7746012420738889,-0.7645009151695631
0.2083,-0.6813107300522541,-0.686360893504417,-0.6762605666000912
0.2083333032920772,-0.6812413000000003,-0.6862914634521632,-0.6761911365478374
0.2208333,-0.655935437664706,-0.6609856011168689,-0.650885274212543
0.225,-0.6478174818886375,-0.6528676453408004,-0.6427673184364746
0.23,-0.638272163982407,-0.64332232743457,-0.6332220005302441
0.2566667,-0.5906304731453034,-0.5956806365974663,-0.5855803096931405
0.4,-0.3979400086720376,-0.4029901721242005,-0.3928898452198747
0.41,-0.38721614328026455,-0.39226630673242746,-0.38216597982810163
0.4416,-0.35497093527885754,-0.36002109873102045,-0.3499207718266946
0.48,-0.3187587626244128,-0.3238089260765757,-0.31370859917224986
0.5,-0.3010299956639812,-0.3060801591161441,-0.2959798322118183
0.66,-0.1804560644581313,-0.18550622791029422,-0.1754059010059684
0.7083,-0.14978275820161055,-0.15483292165377346,-0.14473259474944764
0.7083333175670197,-0.14976233,-0.1548124934521629,-0.14471216654783708
0.708333333333333,-0.14976232033333228,-0.1548124837854952,-0.14471215688116937
0.71666,-0.14468683477151656,-0.14973699822367947,-0.13963667131935364
0.8,-0.09691001300805639,-0.1019601764602193,-0.09185984955589348
0.87,-0.060480747381381476,-0.0655309108335444,-0.05543058392921856
0.9,-0.045757490560675115,-0.05080765401283803,-0.0407073271085122
0.9375,-0.028028723600243537,-0.033078887052406455,-0.022978560148080623
0.96,-0.017728766960431602,-0.022778930412594517,-0.012678603508268688
1.0,0.0,-0.005050163452162915,0.005050163452162915
1.1,0.04139268515822508,0.03634252170606216,0.04644284861038799
1.12,0.04921802267018165,0.04416785921801874,0.05426818612234457
1.125,0.05115252244738129,0.046102358995218376,0.056202685899544205
1.2,0.07918124604762482,0.0741310825954619,0.08423140949978773
1.25,0.09691001300805642,0.0918598495558935,0.10196017646021933
1.29,0.11058971029924898,0.10553954684708607,0.1156398737514119
1.29166,0.11114821059697548,0.10609804714481257,0.1161983740491384
1.4,0.146128035678238,0.1410778722260751,0.15117819913040093
1.466667,0.1663315204698051,0.16128135701764218,0.171381683921968
1.5,0.17609125905568124,0.17104109560351832,0.18114142250784415
1.7,0.2304489213782739,0.225398757926111,0.23549908483043683
1.8,0.25527250510330607,0.25022234165114315,0.260322668555469
1.9,0.2787536009528289,0.273703437500666,0.28380376440499183
2.0,0.3010299956639812,0.2959798322118183,0.3060801591161441
2.1,0.3222192947339193,0.3171691312817564,0.3272694581860822
2.2,0.3424226808222063,0.33737251737004337,0.3474728442743692
2.29166666666667,0.36015144778263847,0.35510128433047555,0.3652016112348014
2.291666783902302,0.3601514699999999,0.355101306547837,0.36520163345216283
2.3,0.36172783601759284,0.3566776725654299,0.36677799946975576
2.38,0.37657695705651195,0.37152679360434904,0.38162712050867487
2.4,0.38021124171160603,0.3751610782594431,0.38526140516376894
