class_value,log10_class,log10_lower,log10_upper
0.000173611,-3.7604227613717693,-3.7658525737950783,-3.7549929489484604
0.002305555,-2.6372245130404988,-2.6426543254638077,-2.63179470061719
0.00625,-2.2041199826559246,-2.2095497950792335,-2.1986901702326156
0.01736,-1.760450279159527,-1.765880091582836,-1.7550204667362177
0.0625,-1.2041199826559248,-1.209549795079234,-1.1986901702326156
0.07916667,-1.101457622472694,-1.1068874348960032,-1.0960278100493848
0.1,-1.0,-1.005429812423309,-0.9945701875766909
0.13,-0.8860566476931632,-0.8914864601164723,-0.8806268352698541
0.1416,-0.8489367466462497,-0.8543665590695588,-0.8435069342229407
0.1625,-0.7891466346851068,-0.7945764471084159,-0.7837168222617977
0.17,-0.769551078621726,-0.7749808910450351,-0.7641212661984169
0.2083,-0.6813107300522541,-0.6867405424755632,-0.675880917628945
0.2208333,-0.655935437664706,-0.661365250088015,-0.6505056252413969
0.225,-0.6478174818886375,-0.6532472943119466,-0.6423876694653284
0.23,-0.638272163982407,-0.6437019764057161,-0.632842351559098
0.2566667,-0.5906304731453034,-0.5960602855686125,-0.5852006607219943
0.4,-0.3979400086720376,-0.4033698210953467,-0.3925101962487285
0.41,-0.38721614328026455,-0.39264595570357363,-0.38178633085695546
0.4416,-0.35497093527885754,-0.3604007477021666,-0.34954112285554845
0.48,-0.3187587626244128,-0.32418857504772186,-0.3133289502011037
0.5,-0.3010299956639812,-0.3064598080872903,-0.2956001832406721
0.66,-0.1804560644581313,-0.1858858768814404,-0.17502625203482222
0.7083,-0.14978275820161055,-0.15521257062491964,-0.14435294577830146
0.708333333333333,-0.14976232033333228,-0.15519213275664137,-0.1443325079100232
0.71666,-0.14468683477151656,-0.15011664719482565,-0.13925702234820747
0.8,-0.09691001300805639,-0.10233982543136548,-0.0914802005847473
0.87,-0.060480747381381476,-0.06591055980469057,-0.05505093495807239
0.9,-0.045757490560675115,-0.051187302983984204,-0.04032767813736603
0.9375,-0.028028723600243537,-0.03345853602355263,-0.02259891117693445
0.96,-0.017728766960431602,-0.02315857938374069,-0.012298954537122514
1.0,0.0,-0.005429812423309088,0.005429812423309088
1.1,0.04139268515822508,0.03596287273491599,0.046822497581534166
1.12,0.04921802267018165,0.043788210246872565,0.05464783509349074
1.125,0.05115252244738129,0.0457227100240722,0.05658233487069038
1.2,0.07918124604762482,0.07375143362431573,0.0846110584709339
1.25,0.09691001300805642,0.09148020058474733,0.10233982543136551
1.29,0.11058971029924898,0.10515989787593989,0.11601952272255807
