smiles,split,y_log10,y_lower,y_upper
Cc1ccc(C)cc1,train,0.36015144778263847,1.176,1.661
CC1CCC2CC(C)C(C)CC2C1,train,0.2787536009528289,1.176,1.661
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,train,0.8502376796666677,1.176,1.661
C[C@@H]1CC[C@H](C)C1,train,1.4828735836087537,0.671,1.176
ClC=C(Cl)Cl,train,1.3601514477826384,1.176,1.661
O=C1C=CC(=O)O1,train,2.380211241711606,2.374781429288297,2.385641054134915
CCO,train,1.8502376796666677,0.176,0.671
COc1ccccc1,train,0.36015144778263847,1.176,1.661
CCCOC(=O)c1ccc(O)cc1,train,1.1139433523068367,0.176,0.671
COCC(C)OC(C)=O,train,0.07918124604762482,0.671,1.176
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,train,0.36015144778263847,0.671,1.176
Cc1cc(C)cc(C)c1.Cc1cc(C)cc(C)c1,train,0.3979400086720376,0.176,0.671
Clc1cc(Cl)cc(Cl)c1,train,1.3601514477826384,1.661,2.164
C1CC2CCC3CCCC4CCC(C1)C2C34,train,1.4471580313422192,2.164,2.661
Cc1cccc(C)c1N,train,0.8502376796666677,0.671,1.176
CCNCC,train,1.3617278360175928,-0.339,0.176
Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,train,0.6020599913279624,2.164,2.661
c1ccsc1,train,0.36015144778263847,0.176,0.671
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl,train,0.9030899869919435,3.176,inf
CCCCCCC(C)CC,train,0.505149978319906,0.176,0.671
CCCCC(C)CCC,train,0.8129133566428556,0.176,0.671
CCN,train,0.8502376796666677,0.176,0.671
COc1nc(C)nc(=NC(O)=NS(=O)(=O)c2ccccc2CCC(F)(F)F)[nH]1,train,0.4913616938342727,2.164,2.661
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,train,1.3601514477826384,1.176,1.661
CCCCCCCCCCCCCCCCCC,train,1.3222192947339193,0.176,0.671
CC(C)N=c1nc(Cl)[nH]c(=NC2CC2)[nH]1,train,0.146128035678238,2.164,2.661
CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,train,0.9030899869919435,0.671,1.176
C[C@@H]1CCC[C@H](C)C1,train,0.7075701760979364,0.671,1.176
C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O,train,1.0569048513364727,0.176,0.671
Oc1cccc(Cl)c1Cl,train,0.526339277389844,1.176,1.661
Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1,train,0.36015144778263847,0.671,1.176
CCCCC(C)CCC(C)C,train,0.6232492903979004,0.176,0.671
CCCCOCCOCCO,train,2.4608978427565478,2.455468030333239,2.4663276551798567
