class_value,log10_class,log10_lower,log10_upper
0.087,-1.0604807473813815,-1.0649295676809394,-1.0560319270818237
0.08875,-1.0518316382728683,-1.0562804585724261,-1.0473828179733105
0.12,-0.9208187539523752,-0.925267574251933,-0.9163699336528175
0.13,-0.8860566476931632,-0.8905054679927209,-0.8816078273936054
0.166666666666667,-0.7781512503836427,-0.7826000706832006,-0.7737024300840849
0.2083333,-0.6812413068627099,-0.6856901271622677,-0.676792486563152
0.25,-0.6020599913279624,-0.6065088116275201,-0.5976111710284047
0.29,-0.5376020021010439,-0.5420508224006018,-0.5331531818014861
0.32,-0.494850021680094,-0.4992988419796518,-0.4904012013805362
0.38,-0.42021640338318983,-0.4246652236827476,-0.41576758308363204
0.3958333,-0.4024876729949267,-0.4069364932944845,-0.3980388526953689
0.46,-0.3372421683184259,-0.3416909886179837,-0.3327933480188681
0.5,-0.3010299956639812,-0.305478815963539,-0.2965811753644234
0.625,-0.2041199826559248,-0.20856880295548258,-0.199671162356367
0.83,-0.08092190762392612,-0.08537072792348391,-0.07647308732436833
1.0,0.0,-0.0044488202995577875,0.0044488202995577875
1.04,0.01703333929878037,0.012584518999222583,0.021482159598338157
1.2,0.07918124604762482,0.07473242574806703,0.0836300663471826
1.3,0.11394335230683679,0.109494532007279,0.11839217260639458
1.4,0.146128035678238,0.14167921537868022,0.1505768559777958
1.5,0.17609125905568124,0.17164243875612345,0.18054007935523902
1.7,0.2304489213782739,0.22600010107871613,0.2348977416778317
1.875,0.27300127206373764,0.26855245176417986,0.27745009236329543
2.0,0.3010299956639812,0.2965811753644234,0.305478815963539
2.1,0.3222192947339193,0.3177704744343615,0.3266681150334771
2.2916666255995746,0.36015144,0.3557026197004422,0.3646002602995578
2.29166666666667,0.36015144778263847,0.3557026274830807,0.36460026808219625
2.3,0.36172783601759284,0.35727901571803505,0.36617665631715063
2.5,0.3979400086720376,0.3934911883724798,0.4023888289715954
2.7,0.43136376415898736,0.4269149438594296,0.43581258445854515
2.819534805061218,0.45017746000000003,0.44572863970044224,0.4546262802995578
3.0,0.47712125471966244,0.47267243442010465,0.4815700750192202
3.2,0.505149978319906,0.5007011580203482,0.5095987986194639
3.208333,0.506279438339369,0.5018306180398111,0.5107282586389268
3.5,0.5440680443502757,0.5396192240507178,0.5485168646498335
3.7,0.568201724066995,0.5637529037674371,0.5726505443665528
3.9,0.5910646070264992,0.5866157867269415,0.5955134273260569
4.0,0.6020599913279624,0.5976111710284047,0.6065088116275201
4.4,0.6434526764861874,0.6390038561866296,0.6479014967857453
4.7,0.6720978579357175,0.6676490376361597,0.6765466782352754
4.900000225331634,0.6901961,0.6857472797004422,0.6946449202995577
5.0,0.6989700043360189,0.6945211840364611,0.7034188246355766
5.2,0.7160033436347992,0.7115545233352414,0.7204521639343571
5.3,0.724275869600789,0.7198270493012313,0.7287246899003468
5.8,0.7634279935629372,0.7589791732633795,0.767876813862495
6.0,0.7781512503836436,0.7737024300840858,0.7826000706832015
6.4,0.8061799739838872,0.8017311536843295,0.8106287942834449
6.6,0.8195439355418687,0.8150951152423109,0.8239927558414264
6.6943297334760485,0.8257071,0.8212582797004422,0.8301559202995579
7.0,0.8450980400142568,0.8406492197146991,0.8495468603138145
7.083333175670195,0.85023767,0.8457888497004422,0.8546864902995577
7.08333333333333,0.8502376796666677,0.8457888593671099,0.8546864999662256
7.5,0.8750612633917001,0.8706124430921423,0.8795100836912579
7.6,0.8808135922807914,0.8763647719812335,0.8852624125803492
8.0,0.9030899869919435,0.8986411666923857,0.9075388072915014
8.4,0.9242792860618817,0.919830465762324,0.9287281063614394
8.8,0.9444826721501687,0.9400338518506108,0.9489314924497265
9.0,0.9542425094393249,0.9497936891397671,0.9586913297388826
9.20000047990685,0.96378785,0.9593390297004423,0.9682366702995577
9.32,0.9694159123539814,0.9649670920544235,0.9738647326535392
9.5,0.9777236052888477,0.97327478498929,0.9821724255884055
9.6,0.9822712330395684,0.9778224127400106,0.9867200533391263
9.7,0.9867717342662449,0.9823229139666871,0.9912205545658026
9.9,0.9956351945975499,0.9911863742979921,1.0000840148971077
10.0,1.0,0.9955511797004422,1.0044488202995578
11.0,1.0413926851582251,1.0369438648586673,1.045841505457783
11.3,1.0530784434834197,1.0486296231838619,1.0575272637829776
11.5,1.0606978403536116,1.0562490200540537,1.0651466606531694
11.7,1.0681858617461617,1.0637370414466039,1.0726346820457195
12.0,1.0791812460476249,1.074732425748067,1.0836300663471827
12.4,1.0934216851622351,1.0889728648626773,1.097870505461793
13.0,1.1139433523068367,1.1094945320072789,1.1183921726063946
13.025,1.1147777319715622,1.1103289116720043,1.11922655227112
14.0,1.146128035678238,1.1416792153786801,1.1505768559777958
14.7,1.167317334748176,1.1628685144486182,1.1717661550477338
14.9,1.173186268412274,1.1687374481127162,1.1776350887118319
15.0,1.1760912590556813,1.1716424387561235,1.1805400793552392
16.0,1.2041199826559248,1.199671162356367,1.2085688029554826
17.5,1.2430380486862944,1.2385892283867366,1.2474868689858523
18.0,1.255272505103306,1.2508236848037482,1.2597213254028639
18.4,1.2648178230095364,1.2603690027099785,1.2692666433090942
18.7,1.271841606536499,1.2673927862369412,1.2762904268360569
19.0,1.2787536009528289,1.274304780653271,1.2832024212523867
20.0,1.3010299956639813,1.2965811753644234,1.305478815963539
20.5,1.3117538610557542,1.3073050407561964,1.316202681355312
21.0,1.3222192947339193,1.3177704744343615,1.3266681150334771
22.5,1.3521825181113625,1.3477336978118046,1.3566313384109203
22.916664145292874,1.3601514,1.355702579700442,1.3646002202995577
22.9166666666667,1.3601514477826384,1.3557026274830806,1.3646002680821963
23.0,1.3617278360175928,1.357279015718035,1.3661766563171507
24.0,1.380211241711606,1.375762421412048,1.3846600620111638
24.5,1.3891660843645324,1.3847172640649745,1.3936149046640902
25.0,1.3979400086720377,1.3934911883724799,1.4023888289715956
26.0,1.414973347970818,1.4105245276712601,1.4194221682703758
26.9,1.429752280002408,1.4253034597028502,1.434201100301966
27.0,1.4313637641589874,1.4269149438594295,1.4358125844585452
28.0,1.4471580313422192,1.4427092110426614,1.451606851641777
30.0,1.4771212547196624,1.4726724344201045,1.4815700750192202
31.7,1.5010592622177514,1.4966104419181936,1.5055080825173093
32.1,1.506505032404872,1.5020562121053143,1.51095385270443
33.6,1.526339277389844,1.5218904570902863,1.530788097689402
34.0,1.5314789170422551,1.5270300967426973,1.535927737341813
35.0,1.5440680443502757,1.5396192240507178,1.5485168646498335
36.0,1.5563025007672873,1.5518536804677294,1.560751321066845
37.0,1.568201724066995,1.5637529037674371,1.5726505443665528
38.0,1.5797835966168101,1.5753347763172523,1.584232416916368
39.0,1.591064607026499,1.5866157867269413,1.595513427326057
40.0,1.6020599913279623,1.5976111710284044,1.6065088116275201
40.5,1.6074550232146685,1.6030062029151106,1.6119038435142263
42.0,1.6232492903979006,1.6188004700983427,1.6276981106974584
42.4,1.6273658565927327,1.6229170362931749,1.6318146768922905
42.6,1.6294095991027189,1.624960778803161,1.6338584194022767
44.0,1.6434526764861874,1.6390038561866296,1.6479014967857453
44.1,1.6444385894678386,1.6399897691682808,1.6488874097673965
46.0,1.662757831681574,1.6583090113820163,1.667206651981132
47.0,1.6720978579357175,1.6676490376361597,1.6765466782352754
47.3,1.6748611407378116,1.6704123204382537,1.6793099610373694
49.0,1.6901960800285136,1.6857472597289558,1.6946449003280715
49.7,1.6963563887333322,1.6919075684337743,1.70080520903289
50.0,1.6989700043360187,1.694521184036461,1.7034188246355766
51.0,1.7075701760979363,1.7031213557983784,1.712018996397494
52.0,1.7160033436347992,1.7115545233352414,1.720452163934357
52.2,1.717670503002262,1.7132216827027043,1.72211932330182
53.0,1.724275869600789,1.719827049301231,1.7287246899003468
54.0,1.7323937598229686,1.7279449395234108,1.7368425801225265
55.0,1.7403626894942439,1.735913869194686,1.7448115097938017
55.3,1.7427251313046983,1.7382763110051405,1.7471739516042561
56.0,1.7481880270062005,1.7437392067066426,1.7526368473057583
58.0,1.7634279935629373,1.7589791732633795,1.7678768138624952
58.7,1.7686381012476144,1.7641892809480566,1.7730869215471723
60.0,1.7781512503836436,1.7737024300840858,1.7826000706832015
61.0,1.7853298350107671,1.7808810147112093,1.789778655310325
65.0,1.8129133566428555,1.8084645363432976,1.8173621769424133
66.0,1.8195439355418688,1.815095115242311,1.8239927558414266
68.0,1.8325089127062364,1.8280600924066785,1.8369577330057942
70.0,1.845098040014257,1.840649219714699,1.8495468603138148
70.8333333333333,1.8502376796666677,1.84578885936711,1.8546864999662256
70.83333664969537,1.8502377,1.8457888797004423,1.854686520299558
71.0,1.8512583487190752,1.8468095284195174,1.855707169018633
72.0,1.8573324964312685,1.8528836761317107,1.8617813167308264
75.4,1.877371345869774,1.8729225255702162,1.881820166169332
76.0,1.8808135922807914,1.8763647719812335,1.8852624125803492
77.0,1.8864907251724818,1.882041904872924,1.8909395454720397
77.9,1.8915374576725645,1.8870886373730067,1.8959862779721224
79.0,1.8976270912904414,1.8931782709908835,1.9020759115899992
81.5,1.9111576087399766,1.9067087884404188,1.9156064290395345
82.0,1.9138138523837167,1.9093650320841589,1.9182626726832746
83.0,1.919078092376074,1.9146292720765161,1.9235269126756318
84.0,1.9242792860618816,1.9198304657623237,1.9287281063614394
85.1,1.9299295600845878,1.92548073978503,1.9343783803841457
85.2,1.9304395947667001,1.9259907744671423,1.934888415066258
86.0,1.9344984512435677,1.9300496309440098,1.9389472715431255
86.6,1.9375178920173466,1.9330690717177887,1.9419667123169044
87.0,1.9395192526186185,1.9350704323190606,1.9439680729181763
87.2,1.9405164849325673,1.9360676646330095,1.9449653052321252
87.7,1.9429995933660404,1.9385507730664826,1.9474484136655983
88.5,1.9469432706978254,1.9424944503982675,1.9513920909973832
89.0,1.9493900066449128,1.944941186345355,1.9538388269444706
90.0,1.954242509439325,1.9497936891397671,1.9586913297388828
91.2,1.9599948383284163,1.9555460180288584,1.964443658627974
92.0,1.9637878273455553,1.9593390070459975,1.9682366476451132
93.0,1.968482948553935,1.9640341282543772,1.9729317688534929
95.0,1.9777236052888478,1.97327478498929,1.9821724255884057
97.0,1.9867717342662448,1.982322913966687,1.9912205545658026
99.0,1.99563519459755,1.991186374297992,2.0000840148971077
100.0,2.0,1.9955511797004422,2.0044488202995576
105.0,2.0211892990699383,2.0167404787703807,2.025638119369496
110.0,2.041392685158225,2.0369438648586673,2.0458415054577825
111.0,2.0453229787866576,2.0408741584871,2.049771799086215
115.0,2.060697840353612,2.056249020054054,2.0651466606531694
116.0,2.0644579892269186,2.060009168927361,2.068906809526476
119.0,2.0755469613925306,2.071098141092973,2.079995781692088
119.6,2.077731179652392,2.0732823593528344,2.0821799999519497
120.0,2.0791812460476247,2.074732425748067,2.0836300663471823
121.3,2.083860800866573,2.0794119805670155,2.0883096211661307
122.0,2.0863598306747484,2.0819110103751908,2.090808650974306
126.0,2.100370545117563,2.0959217248180053,2.1048193654171206
127.0,2.103803720955957,2.099354900656399,2.1082525412555144
129.0,2.110589710299249,2.106140889999691,2.1150385305988064
130.0,2.113943352306837,2.1094945320072793,2.1183921726063946
132.0,2.12057393120585,2.1161251109062924,2.1250227515054076
