smiles,split,leverage_h,h_star,in_ad_leverage,in_interval,interval_loss
Clc1cc(Cl)c(-c2ccccc2)cc1Cl,train,0.5965501837475499,1.03125,True,False,0.3551202334812178
c1ccc(Nc2ccccc2)cc1,train,0.14286100417072847,1.03125,True,False,2.355001920365491
COC(=O)c1ccccc1C(=O)OC,train,0.23473899910250434,1.03125,True,False,1.1447732380655942
CCCCCC,train,0.08568855255486106,1.03125,True,False,0.3136285457833652
C=Cc1ccccc1,train,0.2900574007790228,1.03125,True,False,0.2768831179584945
ClC(Cl)C(Cl)(Cl)Cl,train,0.32120455496757516,1.03125,True,False,0.6486948422919907
CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,train,0.399309667046511,1.03125,True,False,0.6452791921344239
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,train,0.3962190654110699,1.03125,True,False,1.145296633806661
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,train,0.20584278522627492,1.03125,True,False,0.6553011019957196
Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2,train,0.1567950760779891,1.03125,True,False,0.3452817777320232
Cc1cc(C)cc(C)c1,train,0.7921134009807566,1.03125,True,False,0.14466568083261322
O=C(O)c1ccccc1,train,0.8062730143143665,1.03125,True,False,0.35482903524625
CSSC,train,0.5018546002039183,1.03125,True,False,0.6941346943399512
Clc1cccc(Cl)c1Cl,train,0.12812151505498212,1.03125,True,True,0.0
O=[N+]([O-])C(Cl)(Cl)Cl,train,0.39246109834842546,1.03125,True,False,2.2341490414014644
Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1,train,0.3986160880803085,1.03125,True,False,1.1545734952536655
CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl,train,0.19943569619182294,1.03125,True,False,0.47952360991210363
c1ccc2c(c1)oc1ccccc12,train,0.09025201565931731,1.03125,True,False,0.2066853773650026
Clc1ccc(-c2ccccc2Cl)cc1Cl,train,0.1199117105645965,1.03125,True,False,0.15509799534486124
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,train,0.6998238607704974,1.03125,True,True,0.0
CCCCC,train,0.26854954193460495,1.03125,True,False,0.8298784478681964
