Compound	CAS	T_half_air_days	Canonical_smiles
ETHYL CARBAMATE	51-79-6	0.7083	CCOC(=N)O
PROPANE	130071-47-5|74-98-6	99.0	CCC
p, p' - DDT	nan	7.08333333333333	
benzo a pyrene	nan	7.08333333333333	
dibenz(a,h)anthracene	53-70-3	7.08333333333333	c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12
benzamide	55-21-0|55738-52-8	0.708333333333333	N=C(O)c1ccccc1
tetrachlorometane	nan	708.333333333333	
parathion	56-38-2	0.708333333333333	CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
benz a anthracene	nan	7.08333333333333	
chlordane	12789-03-6|33442-85-2|5103-71-9|5103-74-2	2.29166666666667	ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl
lindane	119911-69-2|319-84-6|319-85-7|319-86-8|55963-79-6|58-89-9|608-73-1|6108-10-7|6108-11-8|6108-12-9|6108-13-0	7.08333333333333	ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
ethane, 1,1'-oxybis-	60-29-7|667919-88-2	0.708333333333333	CCOCC
acetamide	60-35-5|74330-92-0	0.708333333333333	CC(=N)O
dieldrin	60-57-1|605-72-1	2.29166666666667	ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl
benzenamine	136260-71-4|62-53-3	0.208333333333333	Nc1ccccc1
ethanethioamide	62-55-5	0.708333333333333	CC(=N)S
methanamine, n-methyl-n-nitroso-	62-75-9	0.208333333333333	CN(C)N=O
1-naphthalenol, methylcarbamate	27636-33-5|3197-92-0|63-25-2	2.29166666666667	CN=C(O)Oc1cccc2ccccc12
ethanol	42845-45-4|64-17-5|8000-16-6	2.29166666666667	CCO
formic acid	64-18-6|82069-14-5	7.08333333333333	O=CO
acetic acid	64-19-7|77671-22-8	2.29166666666667	CC(=O)O
benzoic acid	14322-82-8|65-85-0	2.29166666666667	O=C(O)c1ccccc1
methanol	170082-17-4|67-56-1	7.08333333333333	CO
2-propanol	1344575-38-7|67-63-0|8003-15-4	2.29166666666667	CC(C)O
2-propanone	67-64-1	70.8333333333333	CC(C)=O
methane, trichloro-	67-66-3	70.8333333333333	ClC(Cl)Cl
ethane, hexachloro-	67-72-1	708.333333333333	ClC(Cl)(Cl)C(Cl)(Cl)Cl
benzoic acid, 2-hydroxy-	29656-58-4|69-72-7|8052-31-1	2.29166666666667	O=C(O)c1ccccc1O
1-propanol	142583-61-7|62309-51-7|71-23-8	2.29166666666667	CCCO
1-butanol	1219794-84-9|35296-72-1|6167-45-9|64118-16-7|71-36-3	2.29166666666667	CCCCO
1-pentanol	148587-12-6|30899-19-5|71-41-0	2.29166666666667	CCCCCO
benzene	25053-22-9|26181-88-4|3355-34-8|54682-86-9|62485-97-6|71-43-2	0.708333333333333	c1ccccc1
methoxychlor	1644449-82-0|72-43-5	0.708333333333333	COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1
p,p' - DDE	nan	7.08333333333333	
methane, bromochloro-	13590-47-1|74-97-5	22.9166666666667	ClCBr
ethene, chloro-	1187028-37-0|75-01-4	2.29166666666667	C=CCl
ethanamine	75-04-7	0.708333333333333	CCN
acetaldehyde	75-07-0	0.208333333333333	CC=O
methane, dichloro-	75-09-2	70.8333333333333	ClCCl
methane, bromodichloro-	75-27-4	22.9166666666667	ClC(Cl)Br
2-propanol, 2-methyl-	25-65-0|75-65-0	7.08333333333333	CC(C)(C)O
propanoic acid, 2,2-dichloro-	75-99-0	22.9166666666667	CC(Cl)(Cl)C(=O)O
ethane, pentachloro-	76-01-7	708.333333333333	ClC(Cl)C(Cl)(Cl)Cl
1-propanol, 2-methyl-	78-83-1	2.29166666666667	CC(C)CO
propane, 1,2-dichloro-	78-87-5	22.9166666666667	CC(Cl)CCl
2-butanone	78-93-3	7.08333333333333	CCC(C)=O
ethene, trichloro-	123919-09-5|79-01-6	7.08333333333333	ClC=C(Cl)Cl
2-propenoic acid	55927-87-2|79-10-7|9063-87-0	0.708333333333333	C=CC(=O)O
acetic acid, chloro-	79-11-8	22.9166666666667	O=C(O)CCl
