Compound	CAS	T_half_sediment_days	Canonical_smiles	Corrected_names	n_sources
1,2-DICHLOROETHYLENE	540-59-0	31.0	ClC=CCl		1
1,3,5-Triazine-2,4-diamine, N-cyclopropyl-N'-(1,1-dimethylethyl)-6-(methylthio)-	28159-98-0	200.0	CSc1nc(=NC2CC2)nc(NC(C)(C)C)[nH]1		1
1-CHLORO-3-NITROBENZENE	121-73-3	3.2	O=[N+]([O-])c1cccc(Cl)c1		1
1-HYDROXYANTHRAQUINONE	129-43-1	10.0	O=C1c2ccccc2C(=O)c2c(O)cccc21		1
2,4-DIBROMOPHENOL	615-58-7	5.0	Oc1ccc(Br)cc1Br		1
2,4-DINONYLPHENOL	137-99-5	104.0	CCCCCCCCCc1ccc(O)c(CCCCCCCCC)c1		1
2,5-DICHLOROPHENOL	583-78-8	123.0	Oc1cc(Cl)ccc1Cl		1
2,6-DIBROMOPHENOL	59779-25-8|608-33-3	7.0	Oc1c(Br)cccc1Br		1
2,6-LUTIDINE	108-48-5|27175-64-0	6.0	Cc1cccc(C)n1		1
2-CHLOROPHENOL	25167-80-0|95-57-8	6.9	Oc1ccccc1Cl		1
2-ETHYLHEXANOIC ACID	149-57-5	5.0	CCCCC(CC)C(=O)O		1
2-PYRIDINECARBONITRILE	100-70-9|29386-66-1	0.69	N#Cc1ccccn1		1
3,4,5-TRICHLOROPHENOL	609-19-8	22.0	Oc1cc(Cl)c(Cl)c(Cl)c1		1
3,4-DICHLOROANILINE	95-76-1	60.0	Nc1ccc(Cl)c(Cl)c1		1
3,4-DICHLORONITROBENZENE	99-54-7	2.4	O=[N+]([O-])c1ccc(Cl)c(Cl)c1		1
3,4-DICHLOROPHENOL	95-77-2	70.0	Oc1ccc(Cl)c(Cl)c1		1
3,5-DICHLOROANILINE	1219795-03-5|626-43-7	149.0	Nc1cc(Cl)cc(Cl)c1		1
3,5-DICHLOROPHENOL	591-35-5	36.0	Oc1cc(Cl)cc(Cl)c1		1
3-CHLOROANILINE	108-42-9	666.3	Nc1cccc(Cl)c1		1
3-CHLOROPHENOL	108-43-0	173.0	Oc1cccc(Cl)c1		1
3-IODO-2-PROPYNYL BUTYLCARBAMATE	1246815-08-6|55406-53-6|85045-09-6	0.5541667	CCCCN=C(O)OCC#CI		1
3-PYRIDINECARBONITRILE	100-54-9	9.41	N#Cc1cccnc1		1
4,4'-DICHLOROAZOBENZENE	1602-00-2|21650-51-1	80.0	Clc1ccc(N=Nc2ccc(Cl)cc2)cc1		1
4,4'-THIOBISBENZENAMINE	139-65-1	1.333333	Nc1ccc(Sc2ccc(N)cc2)cc1		1
4-BROMOANILINE	106-40-1	124.4	Nc1ccc(Br)cc1		1
4-FLUOROANILINE	371-40-4	211.3	Nc1ccc(F)cc1		1
4-NITRO-3-TRIFLUOROMETHYLPHENOL	88-30-2	2.1	O=[N+]([O-])c1ccc(O)cc1C(F)(F)F		1
5-Chloro-2-methyl-4-isothiazolin-3-one	26172-55-4	5.0	Cn1sc(Cl)cc1=O		1
ACEPHATE	30560-19-1	6.6	COP(=O)(N=C(C)O)SC		1
ACETAMIPRID	135410-20-7|160430-64-8	45.0	CC(=NC#N)N(C)Cc1ccc(Cl)nc1		1
ACETOCHLOR	123113-74-6|34256-82-1	16.0	CCOCN(C(=O)CCl)c1c(C)cccc1CC		1
ALPHA-METHYLBENZYL ALCOHOL	13323-81-4|98-85-1	7.0	CC(O)c1ccccc1		1
AZOBENZENE	103-33-3|1080-16-6|17082-12-1	1.01666	c1ccc(N=Nc2ccccc2)cc1		1
BENZO(E)PYRENE	192-97-2|73467-76-2	875.0	c1ccc2c(c1)c1cccc3ccc4cccc2c4c31		1
Benzylamine	100-46-9|89551-24-6	3.3	NCc1ccccc1		1
BETA-HEXACHLOROCYCLOHEXANE	119911-69-2|319-84-6|319-85-7|319-86-8|55963-79-6|58-89-9|608-73-1|6108-10-7|6108-11-8|6108-12-9|6108-13-0	7.416667	ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl		4
Bisphenol A	102438-62-0|25766-59-0|80-05-7	1.1	CC(C)(c1ccc(O)cc1)c1ccc(O)cc1		1
C.I. DIRECT BLUE 1	2610-05-1	16.5	COc1cc(-c2ccc(N=Nc3ccc4c(S(=O)(=O)[O-])cc(S(=O)(=O)O)c(N)c4c3[O-])c(OC)c2)ccc1N=Nc1ccc2c(S(=O)(=O)[O-])cc(S(=O)(=O)O)c(N)c2c1[O-].[Na+].[Na+].[Na+].[Na+]		1
C.I. DIRECT RED 28	573-58-0	3.6	Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)[O-])c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+]		1
CHLORFENAPYR	122453-73-0	250.0	CCOCn1c(-c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F		1
CLONITRALIDE	1420-04-8|5716-19-8	2.9	NCCO.O=[N+]([O-])c1ccc(N=C(O)c2cc(Cl)ccc2O)c(Cl)c1		1
CYPERMETHRIN	137497-61-1|211504-93-7|52315-07-8|71697-59-1|72204-44-5|86753-92-6|97955-44-7	85.0	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1		1
DECABROMODIPHENYL ETHER	1163-19-5|145538-74-5	3650.0	Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br		1
DECAMETHYLCYCLOPENTASILOXANE	541-02-6	2700.0	C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1		1
DIBENZO(A,H)PYRENE	189-64-0|58615-36-4	875.0	c1ccc2c(c1)cc1ccc3c4ccccc4cc4ccc2c1c43		1
Dibenzo(a,i)pyrene	189-55-9	875.0	c1ccc2c(c1)cc1ccc3cc4ccccc4c4ccc2c1c34		1
Dichloroethylene	107-06-2|25323-30-2|52399-93-6	511.0	ClCCCl		2
Dichlorvos	62-73-7	50.0	COP(=O)(OC)OC=C(Cl)Cl		1
DICYCLOHEXYL PHTHALATE	84-61-7	26.4	O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1		1
DIFLUBENZURON	35367-38-5	15.0	O=C(N=C(O)c1c(F)cccc1F)Nc1ccc(Cl)cc1		1
DIMETHYLARSENIC ACID	75-60-5|917-76-0	30.0	C[As](C)(=O)O		1
FLUCYTHRINATE	70124-77-5	16.0	CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1		1
FLUMEQUINE	42835-25-6	155.0	CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23		1
Furosemide	54-31-9|84931-49-7	20.0	NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl		2
GLYPHOSATE	1071-83-6|81591-81-3|994-61-6	30.5	O=C(O)CNCP(=O)(O)O		1
HEXACHLORONAPHTHALENE	1335-87-1|58877-88-6	180.0	Clc1ccc2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl		1
HEXACHLOROPHENE	139411-96-4|70-30-4	290.0	Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl		1
Hydrochlorothiazide	125727-50-6|58-93-5|8049-49-8	28.8	NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O		1
Imazamox	114311-32-9|221298-64-2	142.0	COCc1cnc(C2=NC(=O)C(C)(C(C)C)N2)c(C(=O)O)c1		1
KEPONE	143-50-0	312.0	O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl		1
METHANE	14493-06-2|150036-83-2|74-82-8|8006-14-2	70.0	C		1
Methylisothiazolinone	2682-20-4	9.0	Cn1sccc1=O		1
METRONIDAZOLE	443-48-1|56010-45-8	74.5	Cc1ncc([N+](=O)[O-])n1CCO		1
METSULFURON-METHYL	74223-64-6	365.0	COC(=O)c1ccccc1S(=O)(=O)N=C(O)N=c1nc(C)nc(OC)[nH]1		1
NICLOSAMIDE	50-65-7	3.9	O=[N+]([O-])c1ccc(N=C(O)c2cc(Cl)ccc2O)c(Cl)c1		1
Nicosulfuron	111991-09-4	182.0	COc1cc(OC)nc(N=C(O)NS(=O)(=O)c2ncccc2C(=O)N(C)C)n1		1
NONYLPHENOL		99.0	CCCCCCCCCc1ccccc1O		1
OCTAMETHYLCYCLOTETRASILOXANE	556-67-2	365.0	C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1		1
Octhilinone	26530-20-1	135.0	CCCCCCCCn1sccc1=O		1
OXADIAZON	19666-30-9	577.0	CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl		1
OXALIC ACID	144-62-7	173.0	O=C(O)C(=O)O		1
OXYFLUOROFEN	42874-03-3	17.0	CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]		1
Palmitic acid	1219802-61-5|57-10-3	52.0	CCCCCCCCCCCCCCCC(=O)O		1
