Compound	CAS	T_half_soil_days	Canonical_smiles	Corrected_names	n_sources
1,1,1-TRICHLOROETHANE	25323-89-1|71-55-6|90229-85-9	485.0	CC(Cl)(Cl)Cl		1
1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE	76-13-1	5.3	FC(F)(Cl)C(F)(Cl)Cl		1
1,1-DICHLOROETHANE	1300-21-6|75-34-3	115.0	CC(Cl)Cl		1
1,2,3,6,7,8-HEXACHLORODIBENZO-P-DIOXIN	57653-85-7	7305.0	Clc1cc2c(c(Cl)c1Cl)Oc1cc(Cl)c(Cl)c(Cl)c1O2		1
1,2,3,7,8,9-HEXACHLORODIBENZO-p-DIOXIN	19408-74-3	7305.0	Clc1cc2c(c(Cl)c1Cl)Oc1c(cc(Cl)c(Cl)c1Cl)O2		1
1,2,3-Benzotriazole	273-02-9|27556-51-0|95-14-7	180.0	c1ccc2[nH]nnc2c1		1
1,2-Benzisothiazoline-3-one	1329616-16-1|2634-33-5|40991-37-5	1.0	Oc1nsc2ccccc12		1
1,2-DIBROMO-3-CHLOROPROPANE	67708-83-2|96-12-8	6.6	ClCC(Br)CBr		1
1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	3322-93-8	617.0	BrCC(Br)C1CCC(Br)C(Br)C1		1
1,3-DICHLOROPROPENE	542-75-6	4.0	ClC=CCCl		3
1,4-DICHLORO-2-BUTENE	110-57-6|1476-11-5|764-41-0	2.5	ClCC=CCCl		1
1,4-NAPHTHOQUINONE	130-15-4	1.2	O=C1C=CC(=O)c2ccccc21		1
12-Methylbenz(a)anthracene	2422-79-9	28.0	Cc1c2ccccc2cc2ccc3ccccc3c12		1
1-FLUORO-2,4-DINITROBENZENE	70-34-8	50.0	O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1		1
1-METHOXY-2-HYDROXYPROPANE	107-98-2|1320-67-8	1.0	COCC(C)O		1
1-NAPHTHALENEACETIC ACID	26445-01-2|86-87-3	10.0	O=C(O)Cc1cccc2ccccc12		1
2,2',6,6'-Tetrabromobisphenol A	79-94-7	14.7	CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1		1
2,2-DIBROMO-3-NITRILOPROPIONAMIDE	10222-01-2	0.625	N#CC(Br)(Br)C(=N)O		1
2,3,4,5-TETRACHLORONITROBENZENE	879-39-0	468.0	O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1Cl		1
2,3-DICHLOROANILINE	27134-27-6|608-27-5	54.0	Nc1cccc(Cl)c1Cl		1
2,3-DICHLOROPHENOL	25167-81-1|576-24-9	28.0	Oc1cccc(Cl)c1Cl		1
2,3-DICHLOROPROPANOL	616-23-9	55.3	OCC(Cl)CCl		1
2,4,5-TP	7361-37-7|93-72-1	21.0	CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O		1
2,4-D, DIMETHYLAMINE	2008-39-1	23.0	CNC.O=C(O)COc1ccc(Cl)cc1Cl		1
2,4-Dinitrophenol	1326-82-5|25550-58-7|51-28-5	32.1	O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1		1
