CAS	Canonical_smiles	T_half_water_days
91-94-1	Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl	0.20833330329207728
86-30-6	O=NN(c1ccccc1)c2ccccc2	0.7083333175670197
106-44-5	Oc1ccc(cc1)C	0.7083333175670197
95-48-7	Oc1ccccc1C	0.7083333175670197
133-06-2	O=C1N(C(=O)C2CC=CCC12)SC(Cl)(Cl)Cl	0.7083333175670197
121-75-5	O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	2.291666783902302
122-39-4	c1ccc(cc1)Nc2ccccc2	2.291666783902302
262-12-4	O1c3ccccc3(Oc2ccccc12)	2.291666783902302
123-38-6	O=CCC	2.291666783902302
110-02-1	c1ccsc1	2.291666783902302
108-05-4	O=C(OC=C)C	2.291666783902302
109-60-4	O=C(OCCC)C	2.291666783902302
71-41-0	OCCCCC	2.291666783902302
80-62-6	O=C(OC)C(=C)C	2.291666783902302
108-93-0	OC1CCCCC1	2.291666783902302
142-62-1	O=C(O)CCCCC	2.291666783902302
123-86-4	O=C(OCCCC)C	2.291666783902302
111-27-3	OCCCCCC	2.291666783902302
120-83-2	Oc1ccc(cc1Cl)Cl	2.291666783902302
87-65-0	Oc1c(cccc1Cl)Cl	2.291666783902302
106-48-9	Oc1ccc(cc1)Cl	2.291666783902302
120-80-9	Oc1ccccc1(O)	2.291666783902302
628-63-7	O=C(OCCCCC)C	2.291666783902302
121-14-2	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C	2.291666783902302
65-85-0	O=C(O)c1ccccc1	2.291666783902302
69-72-7	O=C(O)c1ccccc1(O)	2.291666783902302
99-99-0	O=[N+]([O-])c1ccc(cc1)C	2.291666783902302
88-72-2	O=[N+]([O-])c1ccccc1C	2.291666783902302
100-51-6	OCc1ccccc1	2.291666783902302
90-05-1	Oc1ccccc1(OC)	2.291666783902302
105-67-9	Oc1ccc(cc1C)C	2.291666783902302
111-87-5	OCCCCCCCC	2.291666783902302
94-75-7	O=C(O)COc1ccc(cc1Cl)Cl	2.291666783902302
103-82-2	O=C(O)Cc1ccccc1	2.291666783902302
76-06-2	O=[N+]([O-])C(Cl)(Cl)Cl	2.291666783902302
100-52-7	O=Cc1ccccc1	2.291666783902302
80-07-9	O=S(=O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	6.634756674234519
2385-85-5	C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	7.083333175670195
7085-19-0	O=C(O)C(Oc1ccc(cc1C)Cl)C	7.083333175670195
91-20-3	c1ccc2ccccc2(c1)	7.083333175670195
63-25-2	O=C(Oc1cccc2ccccc12)NC	7.083333175670195
1563-66-2	O=C(Oc2cccc1c2(OC(C)(C)C1))NC	7.083333175670195
132-64-9	o2c1ccccc1c3ccccc23	7.083333175670195
17804-35-2	O=C(OC)Nc2nc1ccccc1n2(C(=O)NCCCC)	7.083333175670195
72-43-5	O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C	7.083333175670195
85-68-7	O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC)	7.083333175670195
117-81-7	O=C(OCC(CC)CCCC)c1ccccc1(C(=O)OCC(CC)CCCC)	7.083333175670195
110-00-9	o1cccc1	7.083333175670195
106-99-0	C=CC=C	7.083333175670195
109-67-1	C=CCCC	7.083333175670195
96-22-0	O=C(CC)CC	7.083333175670195
591-93-5	C=CCC=C	7.083333175670195
110-83-8	C1=CCCCC1	7.083333175670195
693-02-7	C#CCCCC	7.083333175670195
108-94-1	O=C1CCCCC1	7.083333175670195
137-26-8	C(N(C)C)(=S)SSC(N(C)C)=S	7.083333175670195
591-78-6	O=C(C)CCCC	7.083333175670195
88-06-2	Oc1c(cc(cc1Cl)Cl)Cl	7.083333175670195
933-78-8	Oc1cc(cc(c1Cl)Cl)Cl	7.083333175670195
95-95-4	Oc1cc(c(cc1Cl)Cl)Cl	7.083333175670195
462-06-6	Fc1ccccc1	7.083333175670195
71-43-2	c1ccccc1	7.083333175670195
95-51-2	Nc1ccccc1Cl	7.083333175670195
62-53-3	Nc1ccccc1	7.083333175670195
628-41-1	C1=CCC=CC1	7.083333175670195
110-43-0	O=C(C)CCCCC	7.083333175670195
2539-17-5	Oc1c(OC)c(c(c(c1Cl)Cl)Cl)Cl	7.083333175670195
1897-45-6	N#Cc1c(c(C#N)c(c(c1Cl)Cl)Cl)Cl	7.083333175670195
87-62-7	Nc1c(cccc1C)C	7.083333175670195
111-66-0	C=CCCCCCC	7.083333175670195
100-42-5	C=Cc1ccccc1	7.083333175670195
98-86-2	O=C(c1ccccc1)C	7.083333175670195
496-11-7	c1ccc2c(c1)CCC2	7.083333175670195
2921-88-2	n1c(OP(OCC)(OCC)=S)c(cc(c1Cl)Cl)Cl	7.083333175670195
759-94-4	O=C(N(CCC)CCC)SCC	7.083333175670195
91-22-5	n1cccc2ccccc12	7.083333175670195
131-11-3	O=C(OC)c1ccccc1(C(=O)OC)	7.083333175670195
90-12-0	c1ccc2c(c1)cccc2C	7.083333175670195
1127-76-0	c1ccc2c(c1)cccc2CC	7.083333175670195
581-40-8	c1ccc2cc(c(cc2(c1))C)C	7.083333175670195
84-66-2	O=C(OCC)c1ccccc1(C(=O)OCC)	7.083333175670195
39227-58-2	O1c3ccccc3(Oc2c1c(cc(c2Cl)Cl)Cl)	7.083333175670195
33857-26-0	O1c3ccc(cc3(Oc2ccc(cc12)Cl))Cl	7.083333175670195
38964-22-6	O1c3ccc(cc3(Oc2cc(ccc12)Cl))Cl	7.083333175670195
39227-53-7	O1c3ccccc3(Oc2c1cccc2Cl)	7.083333175670195
39227-54-8	O1c3ccccc3(Oc2cc(ccc12)Cl)	7.083333175670195
2131-41-1	c1cc2c(c(c1)C)c(ccc2C)C	7.083333175670195
84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	7.083333175670195
101-77-9	Nc1ccc(cc1)Cc2ccc(N)cc2	9.001666730971472
839-90-7	O=C1N(C(=O)N(C(=O)N1CCO)CCO)CCO	16.799702847126674
74-97-5	C(Cl)Br	22.916664145292874
95-93-2	c1c(c(cc(c1C)C)C)C	22.916664145292874
56-38-2	O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1	22.916664145292874
124-18-5	CCCCCCCCCC	22.916664145292874
76-44-8	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	22.916664145292874
114-26-1	O=C(Oc1ccccc1(OC(C)C))NC	22.916664145292874
101-84-8	O(c1ccccc1)c2ccccc2	22.916664145292874
5409-83-6	o2c1ccc(cc1c3cc(ccc23)Cl)Cl	22.916664145292874
7005-72-3	O(c1ccccc1)c2ccc(cc2)Cl	22.916664145292874
86-73-7	c1ccc3c(c1)c2ccccc2C3	22.916664145292874
120-12-7	c1ccc2cc3ccccc3(cc2(c1))	22.916664145292874
85-01-8	c1ccc3c(c1)ccc2ccccc23	22.916664145292874
33820-53-0	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(C)C	22.916664145292874
127-18-4	C(=C(Cl)Cl)(Cl)Cl	22.916664145292874
79-01-6	C(=C(Cl)Cl)Cl	22.916664145292874
110-75-8	O(C=C)CCCl	22.916664145292874
111-44-4	O(CCCl)CCCl	22.916664145292874
287-92-3	C1CCCC1	22.916664145292874
111-91-1	O(COCCCl)CCCl	22.916664145292874
109-66-0	CCCCC	22.916664145292874
110-82-7	C1CCCCC1	22.916664145292874
96-37-7	CC1CCCC1	22.916664145292874
110-54-3	CCCCCC	22.916664145292874
111-43-3	O(CCC)CCC	22.916664145292874
4901-51-3	Oc1cc(c(c(c1Cl)Cl)Cl)Cl	22.916664145292874
935-95-5	Oc1c(c(cc(c1Cl)Cl)Cl)Cl	22.916664145292874
58-90-2	Oc1c(cc(c(c1Cl)Cl)Cl)Cl	22.916664145292874
87-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	22.916664145292874
122-34-9	n1c(nc(nc1NCC)Cl)NCC	22.916664145292874
108-87-2	CC1CCCCC1	22.916664145292874
116-06-3	O=C(ON=CC(C)(C)SC)NC	22.916664145292874
108-88-3	c1ccc(cc1)C	22.916664145292874
100-66-3	O(c1ccccc1)C	22.916664145292874
100-41-4	c1ccc(cc1)CC	22.916664145292874
106-42-3	c1cc(ccc1C)C	22.916664145292874
108-38-3	c1cc(cc(c1)C)C	22.916664145292874
95-47-6	c1ccc(c(c1)C)C	22.916664145292874
298-00-0	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1	22.916664145292874
292-64-8	C1CCCCCCC1	22.916664145292874
111-65-9	CCCCCCCC	22.916664145292874
93-76-5	O=C(O)COc1cc(c(cc1Cl)Cl)Cl	22.916664145292874
1918-00-9	O=C(O)c1c(OC)c(ccc1Cl)Cl	22.916664145292874
95-15-8	c1ccc2c(c1)ccs2	22.916664145292874
330-54-1	O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C	22.916664145292874
330-55-2	O=C(Nc1ccc(c(c1)Cl)Cl)N(OC)C	22.916664145292874
103-65-1	c1ccc(cc1)CCC	22.916664145292874
95-63-6	c1cc(c(cc1C)C)C	22.916664145292874
108-67-8	c1c(cc(cc1C)C)C	22.916664145292874
526-73-8	c1cc(c(c(c1)C)C)C	22.916664145292874
98-82-8	c1ccc(cc1)C(C)C	22.916664145292874
75-27-4	C(Cl)(Cl)Br	22.916664145292874
83-32-9	c2cc1cccc3c1c(c2)CC3	22.916664145292874
39227-61-7	O1c3ccc(cc3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl	22.916664145292874
51207-31-9	o2c1cc(c(cc1c3cc(c(cc23)Cl)Cl)Cl)Cl	22.916664145292874
67028-18-6	O1c3cc(ccc3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl	22.916664145292874
33423-92-6	O1c3cc(cc(c3(Oc2cc(cc(c12)Cl)Cl))Cl)Cl	22.916664145292874
1746-01-6	O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl	22.916664145292874
30746-58-8	O1c3ccccc3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl)	22.916664145292874
75-01-4	C=CCl	22.916664145292874
108-60-1	O(C(C)CCl)C(C)CCl	22.916664145292874
140-66-9	Oc1ccc(cc1)C(C)(C)CC(C)(C)C	60.000006854753344
2303-17-5	O=C(N(C(C)C)C(C)C)SCC(=C(Cl)Cl)Cl	70.83333664969537
2303-16-4	O=C(N(C(C)C)C(C)C)SCC(=CCl)Cl	70.83333664969537
333-41-5	n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C	70.83333664969537
1582-09-8	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F	70.83333664969537
51218-45-2	O=C(N(c1c(cccc1CC)C)C(C)COC)CCl	70.83333664969537
206-44-0	c1ccc2c(c1)c4cccc3cccc2c34	70.83333664969537
129-00-0	c1cc2ccc3cccc4ccc(c1)c2c34	70.83333664969537
56-55-3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	70.83333664969537
218-01-9	c1ccc2c(c1)ccc3c4ccccc4(ccc23)	70.83333664969537
207-08-9	c1ccc2cc3c5cccc4cccc(c3(cc2(c1)))c45	70.83333664969537
50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	70.83333664969537
198-55-0	c1cc2cccc3c5cccc4cccc(c(c1)c23)c45	70.83333664969537
191-24-2	c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56	70.83333664969537
67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	70.83333664969537
79-34-5	C(C(Cl)Cl)(Cl)Cl	70.83333664969537
107-06-2	C(CCl)Cl	70.83333664969537
75-00-3	CCCl	70.83333664969537
76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl	70.83333664969537
96-18-4	C(C(CCl)Cl)Cl	70.83333664969537
78-87-5	CC(CCl)Cl	70.83333664969537
