Id	CAS	SMILES	Status	Experimental value 	Predicted value 
1	123-38-6	O=CCC	Training	0.85023767	1.66525
2	71-41-0	OCCCCC	Test	0.85023767	1.11597
3	108-93-0	OC1CCCCC1	Training	0.85023767	1.11597
4	111-27-3	OCCCCCC	Training	0.85023767	1.11597
5	106-44-5	Oc1ccc(cc1)C	Training	0.85023767	1.27053
6	95-48-7	Oc1ccccc1C	Training	0.85023767	1.27053
7	100-51-6	OCc1ccccc1	Test	0.85023767	1.27053
8	111-87-5	OCCCCCCCC	Training	0.85023767	1.24063
9	76-06-2	O=[N+]([O-])C(Cl)(Cl)Cl	Training	0.85023767	1.66525
10	100-52-7	O=Cc1ccccc1	Training	0.85023767	1.49566
11	2303-17-5	O=C(N(C(C)C)C(C)C)SCC(=C(Cl)Cl)Cl	Training	1.3601514	1.94076
12	121-75-5	O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	Test	1.3601514	1.36015
13	122-39-4	c1ccc(cc1)Nc2ccccc2	Training	1.3601514	1.69245
14	108-05-4	O=C(OC=C)C	Training	1.3601514	1.36015
15	96-22-0	O=C(CC)CC	Training	1.3601514	1.36015
16	109-60-4	O=C(OCCC)C	Training	1.3601514	1.36015
17	80-62-6	O=C(OC)C(=C)C	Test	1.3601514	1.36015
18	108-94-1	O=C1CCCCC1	Training	1.3601514	1.11597
19	591-78-6	O=C(C)CCCC	Training	1.3601514	1.11597
20	142-62-1	O=C(O)CCCCC	Training	1.3601514	1.24063
21	123-86-4	O=C(OCCCC)C	Training	1.3601514	1.49566
22	120-80-9	Oc1ccccc1(O)	Test	1.3601514	1.27053
23	110-43-0	O=C(C)CCCCC	Training	1.3601514	1.24063
24	628-63-7	O=C(OCCCCC)C	Training	1.3601514	1.24063
25	65-85-0	O=C(O)c1ccccc1	Training	1.3601514	1.27053
26	69-72-7	O=C(O)c1ccccc1(O)	Training	1.3601514	1.36182
27	90-05-1	Oc1ccccc1(OC)	Test	1.3601514	1.27053
28	105-67-9	Oc1ccc(cc1C)C	Training	1.3601514	1.27053
29	98-86-2	O=C(c1ccccc1)C	Training	1.3601514	1.49566
30	103-82-2	O=C(O)Cc1ccccc1	Training	1.3601514	1.3663
31	133-06-2	O=C1N(C(=O)C2CC=CCC12)SC(Cl)(Cl)Cl	Training	1.3601514	1.6103
32	839-90-7	O=C1N(C(=O)N(C(=O)N1CCO)CCO)CCO	Test	1.656858	1.36015
33	7085-19-0	O=C(O)C(Oc1ccc(cc1C)Cl)C	Training	1.8502377	2.19312
34	56-38-2	O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1	Training	1.8502377	1.85024
35	114-26-1	O=C(Oc1ccccc1(OC(C)C))NC	Training	1.8502377	1.94076
36	92-52-4	c1ccc(cc1)c2ccccc2	Training	1.8502377	2.44993
37	91-94-1	Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl	Test	1.8502377	1.69245
38	101-84-8	O(c1ccccc1)c2ccccc2	Training	1.8502377	1.85809
39	63-25-2	O=C(Oc1cccc2ccccc12)NC	Training	1.8502377	1.94076
40	1563-66-2	O=C(Oc2cccc1c2(OC(C)(C)C1))NC	Training	1.8502377	1.85024
41	7005-72-3	O(c1ccccc1)c2ccc(cc2)Cl	Training	1.8502377	2.35466
42	85-68-7	O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC)	Test	1.8502377	2.1969
43	110-00-9	o1cccc1	Training	1.8502377	2.35951
44	106-99-0	C=CC=C	Training	1.8502377	2.10363
45	110-75-8	O(C=C)CCCl	Training	1.8502377	2.10363
46	111-44-4	O(CCCl)CCCl	Training	1.8502377	2.10363
47	287-92-3	C1CCCC1	Test	1.8502377	2.35951
48	109-67-1	C=CCCC	Training	1.8502377	1.85024
49	111-91-1	O(COCCCl)CCCl	Training	1.8502377	1.85024
50	591-93-5	C=CCC=C	Training	1.8502377	1.85024
51	110-83-8	C1=CCCCC1	Training	1.8502377	1.9582
52	693-02-7	C#CCCCC	Test	1.8502377	1.85024
53	110-82-7	C1CCCCC1	Training	1.8502377	1.9582
54	96-37-7	CC1CCCC1	Training	1.8502377	1.9582
55	137-26-8	C(N(C)C)(=S)SSC(N(C)C)=S	Training	1.8502377	2.36375
56	111-43-3	O(CCC)CCC	Training	1.8502377	1.85024
57	120-83-2	Oc1ccc(cc1Cl)Cl	Test	1.8502377	1.27053
58	87-65-0	Oc1c(cccc1Cl)Cl	Training	1.8502377	1.69245
59	106-48-9	Oc1ccc(cc1)Cl	Training	1.8502377	1.27053
60	462-06-6	Fc1ccccc1	Training	1.8502377	2.1969
61	71-43-2	c1ccccc1	Training	1.8502377	2.52174
62	95-51-2	Nc1ccccc1Cl	Test	1.8502377	1.65336
63	62-53-3	Nc1ccccc1	Training	1.8502377	1.85441
64	628-41-1	C1=CCC=CC1	Training	1.8502377	1.85024
65	108-87-2	CC1CCCCC1	Training	1.8502377	1.9582
66	100-66-3	O(c1ccccc1)C	Training	1.8502377	1.85024
67	1897-45-6	N#Cc1c(c(C#N)c(c(c1Cl)Cl)Cl)Cl	Test	1.8502377	2.30392
68	298-00-0	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1	Training	1.8502377	1.85024
69	87-62-7	Nc1c(cccc1C)C	Training	1.8502377	1.69245
70	1912-24-9	n1c(nc(nc1NC(C)C)Cl)NCC	Training	1.8502377	2.1119
71	292-64-8	C1CCCCCCC1	Training	1.8502377	2.11022
72	111-66-0	C=CCCCCCC	Test	1.8502377	2.11022
73	93-76-5	O=C(O)COc1cc(c(cc1Cl)Cl)Cl	Training	1.8502377	1.85029
74	1918-00-9	O=C(O)c1c(OC)c(ccc1Cl)Cl	Training	1.8502377	1.85029
75	94-75-7	O=C(O)COc1ccc(cc1Cl)Cl	Training	1.8502377	1.94076
76	100-42-5	C=Cc1ccccc1	Training	1.8502377	2.26405
77	2921-88-2	n1c(OP(OCC)(OCC)=S)c(cc(c1Cl)Cl)Cl	Test	1.8502377	2.85024
78	759-94-4	O=C(N(CCC)CCC)SCC	Training	1.8502377	1.85284
79	91-22-5	n1cccc2ccccc12	Training	1.8502377	1.85024
80	131-11-3	O=C(OC)c1ccccc1(C(=O)OC)	Training	1.8502377	1.6103
81	84-66-2	O=C(OCC)c1ccccc1(C(=O)OCC)	Training	1.8502377	1.94076
82	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Test	1.8502377	2.35686
83	108-60-1	O(C(C)CCl)C(C)CCl	Training	1.8502377	1.85024
84	74-97-5	C(Cl)Br	Training	2.3601515	2.72587
85	95-93-2	c1c(c(cc(c1C)C)C)C	Training	2.3601515	2.36015
86	2303-16-4	O=C(N(C(C)C)C(C)C)SCC(=CCl)Cl	Training	2.3601515	1.94076
87	124-18-5	CCCCCCCCCC	Test	2.3601515	2.11022
88	76-44-8	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	2.3601515	2.36827
89	91-20-3	c1ccc2ccccc2(c1)	Training	2.3601515	2.36015
90	86-30-6	O=NN(c1ccccc1)c2ccccc2	Training	2.3601515	1.94076
91	333-41-5	n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C	Training	2.3601515	2.35872
92	132-64-9	o2c1ccccc1c3ccccc23	Test	2.3601515	1.85809
