Id	CAS	SMILES	Status	Experimental value 	Predicted value 
1	91-94-1	Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl	Training	-0.6812413	-0.33183
2	86-30-6	O=NN(c1ccccc1)c2ccccc2	Test	-0.14976233	0.84691
3	106-44-5	Oc1ccc(cc1)C	Training	-0.14976233	0.20272
4	95-48-7	Oc1ccccc1C	Training	-0.14976233	0.21881
5	133-06-2	O=C1N(C(=O)C2CC=CCC12)SC(Cl)(Cl)Cl	Training	-0.14976233	0.25676
6	121-75-5	O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	Training	0.36015147	0.86716
7	122-39-4	c1ccc(cc1)Nc2ccccc2	Test	0.36015147	0.74577
8	262-12-4	O1c3ccccc3(Oc2ccccc12)	Training	0.36015147	0.66512
9	123-38-6	O=CCC	Training	0.36015147	0.40287
10	110-02-1	c1ccsc1	Training	0.36015147	1.19848
11	108-05-4	O=C(OC=C)C	Training	0.36015147	0.45989
12	109-60-4	O=C(OCCC)C	Test	0.36015147	0.36276
13	71-41-0	OCCCCC	Training	0.36015147	0.40287
14	80-62-6	O=C(OC)C(=C)C	Training	0.36015147	0.36276
15	108-93-0	OC1CCCCC1	Training	0.36015147	0.99955
16	142-62-1	O=C(O)CCCCC	Training	0.36015147	0.37808
17	123-86-4	O=C(OCCCC)C	Test	0.36015147	0.45121
18	111-27-3	OCCCCCC	Training	0.36015147	0.37808
19	120-83-2	Oc1ccc(cc1Cl)Cl	Training	0.36015147	0.21881
20	87-65-0	Oc1c(cccc1Cl)Cl	Training	0.36015147	0.58997
21	106-48-9	Oc1ccc(cc1)Cl	Training	0.36015147	0.45126
22	120-80-9	Oc1ccccc1(O)	Test	0.36015147	0.54633
23	628-63-7	O=C(OCCCCC)C	Training	0.36015147	0.45121
24	121-14-2	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C	Training	0.36015147	0.84691
25	65-85-0	O=C(O)c1ccccc1	Training	0.36015147	0.20272
26	69-72-7	O=C(O)c1ccccc1(O)	Training	0.36015147	0.32178
27	99-99-0	O=[N+]([O-])c1ccc(cc1)C	Test	0.36015147	0.65553
