Index,Compound,CAS,T_half_sediment_days,SOURCE,Entry,CID,INCHI,INCHIKEY,Canonical_smiles
0,"1,2-DICHLOROETHYLENE",540-59-0,31.0,HSDB,0.0,10900,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H,KFUSEUYYWQURPO-UHFFFAOYSA-N,ClC=CCl
1,"1,3,5-Triazine-2,4-diamine, N-cyclopropyl-N'-(1,1-dimethylethyl)-6-(methylthio)-",28159-98-0,200.0,HSDB,1.0,91590,"InChI=1S/C11H19N5S/c1-11(2,3)16-9-13-8(12-7-5-6-7)14-10(15-9)17-4/h7H,5-6H2,1-4H3,(H2,12,13,14,15,16)",HDHLIWCXDDZUFH-UHFFFAOYSA-N,CSc1nc(=NC2CC2)nc(NC(C)(C)C)[nH]1
2,1-CHLORO-3-NITROBENZENE,121-73-3,3.2,HSDB,2.0,8489,InChI=1S/C6H4ClNO2/c7-5-2-1-3-6(4-5)8(9)10/h1-4H,KMAQZIILEGKYQZ-UHFFFAOYSA-N,O=[N+]([O-])c1cccc(Cl)c1
3,1-HYDROXYANTHRAQUINONE,129-43-1,10.0,HSDB,3.0,8512,"InChI=1S/C14H8O3/c15-11-7-3-6-10-12(11)14(17)9-5-2-1-4-8(9)13(10)16/h1-7,15H",BTLXPCBPYBNQNR-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)c2c(O)cccc21
4,"2,4-DIBROMOPHENOL",615-58-7,5.0,HSDB,4.0,12005,"InChI=1S/C6H4Br2O/c7-4-1-2-6(9)5(8)3-4/h1-3,9H",FAXWFCTVSHEODL-UHFFFAOYSA-N,Oc1ccc(Br)cc1Br
5,"2,4-DINONYLPHENOL",137-99-5,104.0,HSDB,5.0,8735,"InChI=1S/C24H42O/c1-3-5-7-9-11-13-15-17-22-19-20-24(25)23(21-22)18-16-14-12-10-8-6-4-2/h19-21,25H,3-18H2,1-2H3",FDAJTLLBHNHECW-UHFFFAOYSA-N,CCCCCCCCCc1ccc(O)c(CCCCCCCCC)c1
6,"2,5-DICHLOROPHENOL",583-78-8,123.0,HSDB,6.0,66,"InChI=1S/C6H4Cl2O/c7-4-1-2-5(8)6(9)3-4/h1-3,9H",RANCECPPZPIPNO-UHFFFAOYSA-N,Oc1cc(Cl)ccc1Cl
7,"2,6-DIBROMOPHENOL",59779-25-8|608-33-3,7.0,HSDB,7.0,11847,"InChI=1S/C6H4Br2O/c7-4-2-1-3-5(8)6(4)9/h1-3,9H",SSIZLKDLDKIHEV-UHFFFAOYSA-N,Oc1c(Br)cccc1Br
8,"2,6-LUTIDINE",108-48-5|27175-64-0,6.0,HSDB,8.0,7937,"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",OISVCGZHLKNMSJ-UHFFFAOYSA-N,Cc1cccc(C)n1
9,2-CHLOROPHENOL,25167-80-0|95-57-8,6.9,HSDB,9.0,7245,"InChI=1S/C6H5ClO/c7-5-3-1-2-4-6(5)8/h1-4,8H",ISPYQTSUDJAMAB-UHFFFAOYSA-N,Oc1ccccc1Cl
10,2-ETHYLHEXANOIC ACID,149-57-5,5.0,HSDB,10.0,8697,"InChI=1S/C8H16O2/c1-3-5-6-7(4-2)8(9)10/h7H,3-6H2,1-2H3,(H,9,10)",OBETXYAYXDNJHR-UHFFFAOYSA-N,CCCCC(CC)C(=O)O
11,2-PYRIDINECARBONITRILE,100-70-9|29386-66-1,0.69,HSDB,11.0,7522,InChI=1S/C6H4N2/c7-5-6-3-1-2-4-8-6/h1-4H,FFNVQNRYTPFDDP-UHFFFAOYSA-N,N#Cc1ccccn1
