Index,Compound,CAS,T_half_soil_days,SOURCE,Entry,CID,INCHI,INCHIKEY,Canonical_smiles
0,"1,1,1-TRICHLOROETHANE",25323-89-1|71-55-6|90229-85-9,485.0,HSDB,0.0,6278,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",UOCLXMDMGBRAIB-UHFFFAOYSA-N,CC(Cl)(Cl)Cl
1,"1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE",76-13-1,5.3,HSDB,1.0,6428,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",AJDIZQLSFPQPEY-UHFFFAOYSA-N,FC(F)(Cl)C(F)(Cl)Cl
2,"1,1-DICHLOROETHANE",1300-21-6|75-34-3,115.0,HSDB,2.0,6365,"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3",SCYULBFZEHDVBN-UHFFFAOYSA-N,CC(Cl)Cl
3,"1,2,3,6,7,8-HEXACHLORODIBENZO-P-DIOXIN",57653-85-7,7305.0,HSDB,3.0,42540,InChI=1S/C12H2Cl6O2/c13-3-1-5-11(9(17)7(3)15)20-6-2-4(14)8(16)10(18)12(6)19-5/h1-2H,YCLUIPQDHHPDJJ-UHFFFAOYSA-N,Clc1cc2c(c(Cl)c1Cl)Oc1cc(Cl)c(Cl)c(Cl)c1O2
4,"1,2,3,7,8,9-HEXACHLORODIBENZO-p-DIOXIN",19408-74-3,7305.0,HSDB,4.0,29575,InChI=1S/C12H2Cl6O2/c13-3-1-5-11(9(17)7(3)15)20-12-6(19-5)2-4(14)8(16)10(12)18/h1-2H,LGIRBUBHIWTVCK-UHFFFAOYSA-N,Clc1cc2c(c(Cl)c1Cl)Oc1c(cc(Cl)c(Cl)c1Cl)O2
5,"1,2,3-Benzotriazole",273-02-9|27556-51-0|95-14-7,180.0,HSDB,5.0,7220,"InChI=1S/C6H5N3/c1-2-4-6-5(3-1)7-9-8-6/h1-4H,(H,7,8,9)",QRUDEWIWKLJBPS-UHFFFAOYSA-N,c1ccc2[nH]nnc2c1
6,"1,2-Benzisothiazoline-3-one",1329616-16-1|2634-33-5|40991-37-5,1.0,HSDB,6.0,17520,"InChI=1S/C7H5NOS/c9-7-5-3-1-2-4-6(5)10-8-7/h1-4H,(H,8,9)",DMSMPAJRVJJAGA-UHFFFAOYSA-N,Oc1nsc2ccccc12
7,"1,2-DIBROMO-3-CHLOROPROPANE",67708-83-2|96-12-8,6.6,HSDB,7.0,7280,"InChI=1S/C3H5Br2Cl/c4-1-3(5)2-6/h3H,1-2H2",WBEJYOJJBDISQU-UHFFFAOYSA-N,ClCC(Br)CBr
8,"1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane",3322-93-8,617.0,HSDB,8.0,18728,"InChI=1S/C8H12Br4/c9-4-8(12)5-1-2-6(10)7(11)3-5/h5-8H,1-4H2",PQRRSJBLKOPVJV-UHFFFAOYSA-N,BrCC(Br)C1CCC(Br)C(Br)C1
9,"1,3-DICHLOROPROPENE",542-75-6,4.0,HSDB,9.0,24883,"InChI=1S/C3H4Cl2/c4-2-1-3-5/h1-2H,3H2",UOORRWUZONOOLO-UHFFFAOYSA-N,ClC=CCCl
10,"1,4-DICHLORO-2-BUTENE",110-57-6|1476-11-5|764-41-0,2.5,HSDB,10.0,6,"InChI=1S/C4H6Cl2/c5-3-1-2-4-6/h1-2H,3-4H2/b2-1+",FQDIANVAWVHZIR-OWOJBTEDSA-N,ClC/C=C/CCl
11,"1,4-NAPHTHOQUINONE",130-15-4,1.2,HSDB,11.0,8530,InChI=1S/C10H6O2/c11-9-5-6-10(12)8-4-2-1-3-7(8)9/h1-6H,FRASJONUBLZVQX-UHFFFAOYSA-N,O=C1C=CC(=O)c2ccccc21
12,12-Methylbenz(a)anthracene,2422-79-9,28.0,HSDB,12.0,17026,"InChI=1S/C19H14/c1-13-17-8-4-3-7-15(17)12-16-11-10-14-6-2-5-9-18(14)19(13)16/h2-12H,1H3",ACYOLKMEHHTLAB-UHFFFAOYSA-N,Cc1c2ccccc2cc2ccc3ccccc3c12
